"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2018","HICP All items excluding housing, water, electricity, gas and other fuels","Base 2015=100","99.4"
"Harmonised Index of Consumer Prices","2019","All-items HICP (COICOP 00)","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2019","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","94"
"Harmonised Index of Consumer Prices","2019","Food (COICOP 01.1)","Base 2015=100","93.9"
"Harmonised Index of Consumer Prices","2019","Bread and cereals (COICOP 01.1.1)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2019","Meat (COICOP 01.1.2)","Base 2015=100","92.8"
"Harmonised Index of Consumer Prices","2019","Fish and seafood (COICOP 01.1.3)","Base 2015=100","93.7"
"Harmonised Index of Consumer Prices","2019","Milk, cheese and eggs (COICOP 01.1.4)","Base 2015=100","95"
"Harmonised Index of Consumer Prices","2019","Oils and fats (COICOP 01.1.5)","Base 2015=100","103.7"
"Harmonised Index of Consumer Prices","2019","Fruit (COICOP 01.1.6)","Base 2015=100","98.7"
"Harmonised Index of Consumer Prices","2019","Vegetables (COICOP 01.1.7)","Base 2015=100","97.7"
"Harmonised Index of Consumer Prices","2019","Sugar, jam, honey, chocolate and confectionery (COICOP 01.1.8)","Base 2015=100","86.3"
"Harmonised Index of Consumer Prices","2019","Food products n.e.c. (COICOP 01.1.9)","Base 2015=100","94.2"
"Harmonised Index of Consumer Prices","2019","Non-alcoholic beverages (COICOP 01.2)","Base 2015=100","94.7"
"Harmonised Index of Consumer Prices","2019","Coffee, tea and cocoa (COICOP 01.2.1)","Base 2015=100","91.4"
"Harmonised Index of Consumer Prices","2019","Mineral waters, soft drinks, fruit and vegetable juices (COICOP 01.2.2)","Base 2015=100","95.7"
"Harmonised Index of Consumer Prices","2019","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","108"
"Harmonised Index of Consumer Prices","2019","Alcoholic beverages (COICOP 02.1)","Base 2015=100","91.1"
"Harmonised Index of Consumer Prices","2019","Spirits (COICOP 02.1.1)","Base 2015=100","96.9"
"Harmonised Index of Consumer Prices","2019","Wine (COICOP 02.1.2)","Base 2015=100","83.3"
"Harmonised Index of Consumer Prices","2019","Beer (COICOP 02.1.3)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2019","Tobacco (COICOP 02.2)","Base 2015=100","128.8"
"Harmonised Index of Consumer Prices","2019","Clothing and footwear (COICOP 03)","Base 2015=100","90.6"
"Harmonised Index of Consumer Prices","2019","Clothing (COICOP 03.1)","Base 2015=100","92"
"Harmonised Index of Consumer Prices","2019","Clothing materials (COICOP 03.1.1)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Garments (COICOP 03.1.2)","Base 2015=100","91.5"
"Harmonised Index of Consumer Prices","2019","Other articles of clothing and clothing accessories (COICOP 03.1.3)","Base 2015=100","93.5"
"Harmonised Index of Consumer Prices","2019","Cleaning, repair and hire of clothing (COICOP 03.1.4)","Base 2015=100","104.7"
"Harmonised Index of Consumer Prices","2019","Footwear (COICOP 03.2)","Base 2015=100","84.3"
"Harmonised Index of Consumer Prices","2019","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","115.8"
"Harmonised Index of Consumer Prices","2019","Actual rentals for housing (COICOP 04.1)","Base 2015=100","129.9"
"Harmonised Index of Consumer Prices","2019","Maintenance and repair of the dwelling (COICOP 04.3)","Base 2015=100","105"
"Harmonised Index of Consumer Prices","2019","Materials for the maintenance and repair of the dwelling (COICOP 04.3.1)","Base 2015=100","99.1"
"Harmonised Index of Consumer Prices","2019","Services for the maintenance and repair of the dwelling (COICOP 04.3.2)","Base 2015=100","108.5"
"Harmonised Index of Consumer Prices","2019","Water supply and miscellaneous services relating to the dwelling (COICOP 04.4)","Base 2015=100","71.7"
"Harmonised Index of Consumer Prices","2019","Water supply (COICOP 04.4.1)","Base 2015=100","0"
"Harmonised Index of Consumer Prices","2019","Refuse collection (COICOP 04.4.2)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2019","Sewerage collection (COICOP 04.4.3)","Base 2015=100","0"
"Harmonised Index of Consumer Prices","2019","Other services relating to the dwelling n.e.c. (COICOP 04.4.4)","Base 2015=100","105.6"
"Harmonised Index of Consumer Prices","2019","Electricity, gas and other fuels (COICOP 04.5)","Base 2015=100","105.8"
"Harmonised Index of Consumer Prices","2019","Electricity (COICOP 04.5.1)","Base 2015=100","105.5"
"Harmonised Index of Consumer Prices","2019","Gas (COICOP 04.5.2)","Base 2015=100","106.8"
"Harmonised Index of Consumer Prices","2019","Liquid fuels (COICOP 04.5.3)","Base 2015=100","110"
"Harmonised Index of Consumer Prices","2019","Solid fuels (COICOP 04.5.4)","Base 2015=100","101.9"
"Harmonised Index of Consumer Prices","2019","Heat energy (COICOP 04.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","86.3"
"Harmonised Index of Consumer Prices","2019","Furniture and furnishings, carpets and other floor coverings (COICOP 05.1)","Base 2015=100","79"
"Harmonised Index of Consumer Prices","2019","Furniture and furnishings (COICOP 05.1.1)","Base 2015=100","78.7"
"Harmonised Index of Consumer Prices","2019","Carpets and other floor coverings (COICOP 05.1.2)","Base 2015=100","98"
"Harmonised Index of Consumer Prices","2019","Repair of furniture, furnishings and floor coverings (COICOP 05.1.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Household textiles (COICOP 05.2)","Base 2015=100","73.1"
"Harmonised Index of Consumer Prices","2019","Household appliances (COICOP 05.3)","Base 2015=100","88.6"
"Harmonised Index of Consumer Prices","2019","Major household appliances whether electric or not and small electric household appliances (COICOP 05.3.1_2)","Base 2015=100","87.8"
"Harmonised Index of Consumer Prices","2019","Repair of household appliances (COICOP 05.3.3)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2019","Glassware, tableware and household utensils (COICOP 05.4)","Base 2015=100","82.5"
"Harmonised Index of Consumer Prices","2019","Tools and equipment for house and garden (COICOP 05.5)","Base 2015=100","89.2"
"Harmonised Index of Consumer Prices","2019","Goods and services for routine household maintenance (COICOP 05.6)","Base 2015=100","93.8"
"Harmonised Index of Consumer Prices","2019","Non-durable household goods (COICOP 05.6.1)","Base 2015=100","76.4"
"Harmonised Index of Consumer Prices","2019","Domestic services and household services (COICOP 05.6.2)","Base 2015=100","114.1"
"Harmonised Index of Consumer Prices","2019","Health (COICOP 06)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2019","Medical products, appliances and equipment (COICOP 06.1)","Base 2015=100","95.8"
"Harmonised Index of Consumer Prices","2019","Pharmaceutical products (COICOP 06.1.1)","Base 2015=100","95.4"
"Harmonised Index of Consumer Prices","2019","Other medical products, therapeutic appliances and equipment (COICOP 06.1.2_3)","Base 2015=100","97.9"
"Harmonised Index of Consumer Prices","2019","Out-patient services (COICOP 06.2)","Base 2015=100","108.3"
"Harmonised Index of Consumer Prices","2019","Medical services and paramedical services (COICOP 06.2.1_3)","Base 2015=100","109.4"
"Harmonised Index of Consumer Prices","2019","Dental services (COICOP 06.2.2)","Base 2015=100","106.1"
"Harmonised Index of Consumer Prices","2019","Hospital services (COICOP 06.3)","Base 2015=100","101"
"Harmonised Index of Consumer Prices","2019","Transport (COICOP 07)","Base 2015=100","99.6"
"Harmonised Index of Consumer Prices","2019","Purchase of vehicles (COICOP 07.1)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2019","Motor cars (COICOP 07.1.1)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2019","Motor cycles, bicycles and animal drawn vehicles (COICOP 07.1.2_3_4)","Base 2015=100","92.4"
"Harmonised Index of Consumer Prices","2019","Operation of personal transport equipment (COICOP 07.2)","Base 2015=100","104.2"
"Harmonised Index of Consumer Prices","2019","Spare parts and accessories for personal transport equipment (COICOP 07.2.1)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2019","Fuels and lubricants for personal transport equipment (COICOP 07.2.2)","Base 2015=100","105.3"
"Harmonised Index of Consumer Prices","2019","Maintenance and repair of personal transport equipment (COICOP 07.2.3)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2019","Other services in respect of personal transport equipment (COICOP 07.2.4)","Base 2015=100","102.6"
"Harmonised Index of Consumer Prices","2019","Transport services (COICOP 07.3)","Base 2015=100","101.3"
"Harmonised Index of Consumer Prices","2019","Passenger transport by railway (COICOP 07.3.1)","Base 2015=100","106.3"
"Harmonised Index of Consumer Prices","2019","Passenger transport by road (COICOP 07.3.2)","Base 2015=100","103.6"
"Harmonised Index of Consumer Prices","2019","Passenger transport by air (COICOP 07.3.3)","Base 2015=100","92.3"
"Harmonised Index of Consumer Prices","2019","Passenger transport by sea and inland waterway (COICOP 07.3.4)","Base 2015=100","113.9"
"Harmonised Index of Consumer Prices","2019","Combined passenger transport (COICOP 07.3.5)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2019","Other purchased transport services (COICOP 07.3.6)","Base 2015=100","106.9"
"Harmonised Index of Consumer Prices","2019","Communications (COICOP 08)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2019","Postal services (COICOP 08.1)","Base 2015=100","129.8"
"Harmonised Index of Consumer Prices","2019","Telephone and telefax equipment and services (COICOP 08.2_3)","Base 2015=100","90.9"
"Harmonised Index of Consumer Prices","2019","Recreation and culture (COICOP 09)","Base 2015=100","96.7"
"Harmonised Index of Consumer Prices","2019","Audio-visual, photographic and information processing equipment (COICOP 09.1)","Base 2015=100","59.8"
"Harmonised Index of Consumer Prices","2019","Equipment for the reception, recording and reproduction of sound and picture (COICOP 09.1.1)","Base 2015=100","62.7"
"Harmonised Index of Consumer Prices","2019","Photographic and cinematographic equipment and optical instruments (COICOP 09.1.2)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Information processing equipment (COICOP 09.1.3)","Base 2015=100","33.9"
"Harmonised Index of Consumer Prices","2019","Recording media (COICOP 09.1.4)","Base 2015=100","74.6"
"Harmonised Index of Consumer Prices","2019","Repair of audio-visual, photographic and information processing equipment (COICOP 09.1.5)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2019","Other major durables for recreation and culture (COICOP 09.2)","Base 2015=100","96.5"
"Harmonised Index of Consumer Prices","2019","Major durables for indoor and outdoor recreation including musical instruments (COICOP 09.2.1_2)","Base 2015=100","96.5"
"Harmonised Index of Consumer Prices","2019","Maintenance and repair of other major durables for recreation and culture (COICOP 09.2.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Other recreational items and equipment, gardens and pets (COICOP 09.3)","Base 2015=100","78.4"
"Harmonised Index of Consumer Prices","2019","Games, toys and hobbies (COICOP 09.3.1)","Base 2015=100","69.9"
"Harmonised Index of Consumer Prices","2019","Equipment for sport, camping and open-air recreation (COICOP 09.3.2)","Base 2015=100","68.1"
"Harmonised Index of Consumer Prices","2019","Gardens, plants and flowers (COICOP 09.3.3)","Base 2015=100","79.1"
"Harmonised Index of Consumer Prices","2019","Pets and related products; veterinary and other services for pets (COICOP 09.3.4_5)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2019","Recreational and cultural services (COICOP 09.4)","Base 2015=100","106.8"
"Harmonised Index of Consumer Prices","2019","Recreational and sporting services (COICOP 09.4.1)","Base 2015=100","114.1"
"Harmonised Index of Consumer Prices","2019","Cultural services (COICOP 09.4.2)","Base 2015=100","102.2"
"Harmonised Index of Consumer Prices","2019","Newspapers, books and stationery (COICOP 09.5)","Base 2015=100","105.1"
"Harmonised Index of Consumer Prices","2019","Books (COICOP 09.5.1)","Base 2015=100","102.5"
"Harmonised Index of Consumer Prices","2019","Newspapers and periodicals (COICOP 09.5.2)","Base 2015=100","111.6"
"Harmonised Index of Consumer Prices","2019","Miscellaneous printed matter; stationery and drawing materials (COICOP 09.5.3_4)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2019","Package holidays (COICOP 09.6)","Base 2015=100","103.9"
"Harmonised Index of Consumer Prices","2019","Education (COICOP 10)","Base 2015=100","109.2"
"Harmonised Index of Consumer Prices","2019","Restaurants and hotels (COICOP 11)","Base 2015=100","109.7"
"Harmonised Index of Consumer Prices","2019","Catering services (COICOP 11.1)","Base 2015=100","108.6"
"Harmonised Index of Consumer Prices","2019","Restaurants, cafes and the like (COICOP 11.1.1)","Base 2015=100","108.8"
"Harmonised Index of Consumer Prices","2019","Canteens (COICOP 11.1.2)","Base 2015=100","104.2"
"Harmonised Index of Consumer Prices","2019","Accommodation services (COICOP 11.2)","Base 2015=100","119.8"
"Harmonised Index of Consumer Prices","2019","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.9"
"Harmonised Index of Consumer Prices","2019","Personal care (COICOP 12.1)","Base 2015=100","90.2"
"Harmonised Index of Consumer Prices","2019","Hairdressing salons and personal grooming establishments (COICOP 12.1.1)","Base 2015=100","107.8"
"Harmonised Index of Consumer Prices","2019","Electrical appliances for personal care; other appliances, articles and products for personal care (COICOP 12.1.2_3)","Base 2015=100","82.7"
"Harmonised Index of Consumer Prices","2019","Personal effects n.e.c. (COICOP 12.3)","Base 2015=100","76.5"
"Harmonised Index of Consumer Prices","2019","Jewellery, clocks and watches (COICOP 12.3.1)","Base 2015=100","90.9"
"Harmonised Index of Consumer Prices","2019","Other personal effects (COICOP 12.3.2)","Base 2015=100","65.7"
"Harmonised Index of Consumer Prices","2019","Social protection (COICOP 12.4)","Base 2015=100","107.6"
"Harmonised Index of Consumer Prices","2019","Insurance (COICOP 12.5)","Base 2015=100","111"
"Harmonised Index of Consumer Prices","2019","Insurance connected with the dwelling (COICOP 12.5.2)","Base 2015=100","109"
"Harmonised Index of Consumer Prices","2019","Insurance connected with health (COICOP 12.5.3)","Base 2015=100","111.1"
"Harmonised Index of Consumer Prices","2019","Insurance connected with transport (COICOP 12.5.4)","Base 2015=100","102"
"Harmonised Index of Consumer Prices","2019","Other insurance (COICOP 12.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2019","Financial services n.e.c. (COICOP 12.6)","Base 2015=100","101.4"
"Harmonised Index of Consumer Prices","2019","Other services n.e.c. (COICOP 12.7)","Base 2015=100","105.2"
"Harmonised Index of Consumer Prices","2019","Unprocessed food","Base 2015=100","94.5"
"Harmonised Index of Consumer Prices","2019","Non-energy industrial goods","Base 2015=100","86.1"
"Harmonised Index of Consumer Prices","2019","Energy","Base 2015=100","105.6"
"Harmonised Index of Consumer Prices","2019","Energy and unprocessed food","Base 2015=100","102.6"
"Harmonised Index of Consumer Prices","2019","HICP All items excluding energy","Base 2015=100","101.4"
"Harmonised Index of Consumer Prices","2019","HICP All items excluding energy and unprocessed food","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2019","HICP All items excluding housing, water, electricity, gas and other fuels","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2020","All-items HICP (COICOP 00)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2020","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","92.7"
"Harmonised Index of Consumer Prices","2020","Food (COICOP 01.1)","Base 2015=100","92.8"
"Harmonised Index of Consumer Prices","2020","Bread and cereals (COICOP 01.1.1)","Base 2015=100","91.7"
"Harmonised Index of Consumer Prices","2020","Meat (COICOP 01.1.2)","Base 2015=100","92.9"
"Harmonised Index of Consumer Prices","2020","Fish and seafood (COICOP 01.1.3)","Base 2015=100","94.2"
"Harmonised Index of Consumer Prices","2020","Milk, cheese and eggs (COICOP 01.1.4)","Base 2015=100","94.1"
"Harmonised Index of Consumer Prices","2020","Oils and fats (COICOP 01.1.5)","Base 2015=100","103.6"
"Harmonised Index of Consumer Prices","2020","Fruit (COICOP 01.1.6)","Base 2015=100","98.3"
"Harmonised Index of Consumer Prices","2020","Vegetables (COICOP 01.1.7)","Base 2015=100","94.2"
"Harmonised Index of Consumer Prices","2020","Sugar, jam, honey, chocolate and confectionery (COICOP 01.1.8)","Base 2015=100","81.9"
"Harmonised Index of Consumer Prices","2020","Food products n.e.c. (COICOP 01.1.9)","Base 2015=100","93.9"
"Harmonised Index of Consumer Prices","2020","Non-alcoholic beverages (COICOP 01.2)","Base 2015=100","92.2"
"Harmonised Index of Consumer Prices","2020","Coffee, tea and cocoa (COICOP 01.2.1)","Base 2015=100","88.7"
"Harmonised Index of Consumer Prices","2020","Mineral waters, soft drinks, fruit and vegetable juices (COICOP 01.2.2)","Base 2015=100","93.4"
"Harmonised Index of Consumer Prices","2020","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","110.6"
"Harmonised Index of Consumer Prices","2020","Alcoholic beverages (COICOP 02.1)","Base 2015=100","90.6"
"Harmonised Index of Consumer Prices","2020","Spirits (COICOP 02.1.1)","Base 2015=100","101.3"
"Harmonised Index of Consumer Prices","2020","Wine (COICOP 02.1.2)","Base 2015=100","80.9"
"Harmonised Index of Consumer Prices","2020","Beer (COICOP 02.1.3)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2020","Tobacco (COICOP 02.2)","Base 2015=100","134.5"
"Harmonised Index of Consumer Prices","2020","Clothing and footwear (COICOP 03)","Base 2015=100","87.3"
"Harmonised Index of Consumer Prices","2020","Clothing (COICOP 03.1)","Base 2015=100","89"
"Harmonised Index of Consumer Prices","2020","Clothing materials (COICOP 03.1.1)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2020","Garments (COICOP 03.1.2)","Base 2015=100","88.7"
"Harmonised Index of Consumer Prices","2020","Other articles of clothing and clothing accessories (COICOP 03.1.3)","Base 2015=100","87.9"
"Harmonised Index of Consumer Prices","2020","Cleaning, repair and hire of clothing (COICOP 03.1.4)","Base 2015=100","106.2"
"Harmonised Index of Consumer Prices","2020","Footwear (COICOP 03.2)","Base 2015=100","79.5"
"Harmonised Index of Consumer Prices","2020","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","113.4"
"Harmonised Index of Consumer Prices","2020","Actual rentals for housing (COICOP 04.1)","Base 2015=100","130.1"
"Harmonised Index of Consumer Prices","2020","Maintenance and repair of the dwelling (COICOP 04.3)","Base 2015=100","105.7"
"Harmonised Index of Consumer Prices","2020","Materials for the maintenance and repair of the dwelling (COICOP 04.3.1)","Base 2015=100","98.7"
"Harmonised Index of Consumer Prices","2020","Services for the maintenance and repair of the dwelling (COICOP 04.3.2)","Base 2015=100","112"
"Harmonised Index of Consumer Prices","2020","Water supply and miscellaneous services relating to the dwelling (COICOP 04.4)","Base 2015=100","73"
"Harmonised Index of Consumer Prices","2020","Water supply (COICOP 04.4.1)","Base 2015=100","0"
"Harmonised Index of Consumer Prices","2020","Refuse collection (COICOP 04.4.2)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2020","Sewerage collection (COICOP 04.4.3)","Base 2015=100","0"
"Harmonised Index of Consumer Prices","2020","Other services relating to the dwelling n.e.c. (COICOP 04.4.4)","Base 2015=100","108.3"
"Harmonised Index of Consumer Prices","2020","Electricity, gas and other fuels (COICOP 04.5)","Base 2015=100","99.2"
"Harmonised Index of Consumer Prices","2020","Electricity (COICOP 04.5.1)","Base 2015=100","105.9"
"Harmonised Index of Consumer Prices","2020","Gas (COICOP 04.5.2)","Base 2015=100","102.2"
"Harmonised Index of Consumer Prices","2020","Liquid fuels (COICOP 04.5.3)","Base 2015=100","83"
"Harmonised Index of Consumer Prices","2020","Solid fuels (COICOP 04.5.4)","Base 2015=100","103.5"
"Harmonised Index of Consumer Prices","2020","Heat energy (COICOP 04.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2020","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","83.6"
"Harmonised Index of Consumer Prices","2020","Furniture and furnishings, carpets and other floor coverings (COICOP 05.1)","Base 2015=100","75.5"
"Harmonised Index of Consumer Prices","2020","Furniture and furnishings (COICOP 05.1.1)","Base 2015=100","75"
"Harmonised Index of Consumer Prices","2020","Carpets and other floor coverings (COICOP 05.1.2)","Base 2015=100","97.2"
"Harmonised Index of Consumer Prices","2020","Repair of furniture, furnishings and floor coverings (COICOP 05.1.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2020","Household textiles (COICOP 05.2)","Base 2015=100","66.7"
"Harmonised Index of Consumer Prices","2020","Household appliances (COICOP 05.3)","Base 2015=100","86.6"
"Harmonised Index of Consumer Prices","2020","Major household appliances whether electric or not and small electric household appliances (COICOP 05.3.1_2)","Base 2015=100","85.6"
"Harmonised Index of Consumer Prices","2020","Repair of household appliances (COICOP 05.3.3)","Base 2015=100","102.2"
"Harmonised Index of Consumer Prices","2020","Glassware, tableware and household utensils (COICOP 05.4)","Base 2015=100","76.7"
"Harmonised Index of Consumer Prices","2020","Tools and equipment for house and garden (COICOP 05.5)","Base 2015=100","86.6"
"Harmonised Index of Consumer Prices","2020","Goods and services for routine household maintenance (COICOP 05.6)","Base 2015=100","93.1"
"Harmonised Index of Consumer Prices","2020","Non-durable household goods (COICOP 05.6.1)","Base 2015=100","70.7"
"Harmonised Index of Consumer Prices","2020","Domestic services and household services (COICOP 05.6.2)","Base 2015=100","119.3"
"Harmonised Index of Consumer Prices","2020","Health (COICOP 06)","Base 2015=100","105.2"
"Harmonised Index of Consumer Prices","2020","Medical products, appliances and equipment (COICOP 06.1)","Base 2015=100","97.3"
"Harmonised Index of Consumer Prices","2020","Pharmaceutical products (COICOP 06.1.1)","Base 2015=100","96.6"
"Harmonised Index of Consumer Prices","2020","Other medical products, therapeutic appliances and equipment (COICOP 06.1.2_3)","Base 2015=100","100.3"
"Harmonised Index of Consumer Prices","2020","Out-patient services (COICOP 06.2)","Base 2015=100","112.1"
"Harmonised Index of Consumer Prices","2020","Medical services and paramedical services (COICOP 06.2.1_3)","Base 2015=100","113.2"
"Harmonised Index of Consumer Prices","2020","Dental services (COICOP 06.2.2)","Base 2015=100","109.8"
"Harmonised Index of Consumer Prices","2020","Hospital services (COICOP 06.3)","Base 2015=100","103.7"
"Harmonised Index of Consumer Prices","2020","Transport (COICOP 07)","Base 2015=100","97.8"
"Harmonised Index of Consumer Prices","2020","Purchase of vehicles (COICOP 07.1)","Base 2015=100","94.2"
"Harmonised Index of Consumer Prices","2020","Motor cars (COICOP 07.1.1)","Base 2015=100","94.2"
"Harmonised Index of Consumer Prices","2020","Motor cycles, bicycles and animal drawn vehicles (COICOP 07.1.2_3_4)","Base 2015=100","93.8"
"Harmonised Index of Consumer Prices","2020","Operation of personal transport equipment (COICOP 07.2)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2020","Spare parts and accessories for personal transport equipment (COICOP 07.2.1)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2020","Fuels and lubricants for personal transport equipment (COICOP 07.2.2)","Base 2015=100","101.3"
"Harmonised Index of Consumer Prices","2020","Maintenance and repair of personal transport equipment (COICOP 07.2.3)","Base 2015=100","103.7"
"Harmonised Index of Consumer Prices","2020","Other services in respect of personal transport equipment (COICOP 07.2.4)","Base 2015=100","104"
"Harmonised Index of Consumer Prices","2020","Transport services (COICOP 07.3)","Base 2015=100","92"
"Harmonised Index of Consumer Prices","2020","Passenger transport by railway (COICOP 07.3.1)","Base 2015=100","107.2"
"Harmonised Index of Consumer Prices","2020","Passenger transport by road (COICOP 07.3.2)","Base 2015=100","104.3"
"Harmonised Index of Consumer Prices","2020","Passenger transport by air (COICOP 07.3.3)","Base 2015=100","77.8"
"Harmonised Index of Consumer Prices","2020","Passenger transport by sea and inland waterway (COICOP 07.3.4)","Base 2015=100","127.9"
"Harmonised Index of Consumer Prices","2020","Combined passenger transport (COICOP 07.3.5)","Base 2015=100","101.6"
"Harmonised Index of Consumer Prices","2020","Other purchased transport services (COICOP 07.3.6)","Base 2015=100","114"
"Harmonised Index of Consumer Prices","2020","Communications (COICOP 08)","Base 2015=100","86.1"
"Harmonised Index of Consumer Prices","2020","Postal services (COICOP 08.1)","Base 2015=100","131.1"
"Harmonised Index of Consumer Prices","2020","Telephone and telefax equipment and services (COICOP 08.2_3)","Base 2015=100","84.3"
"Harmonised Index of Consumer Prices","2020","Recreation and culture (COICOP 09)","Base 2015=100","98"
"Harmonised Index of Consumer Prices","2020","Audio-visual, photographic and information processing equipment (COICOP 09.1)","Base 2015=100","57.8"
"Harmonised Index of Consumer Prices","2020","Equipment for the reception, recording and reproduction of sound and picture (COICOP 09.1.1)","Base 2015=100","55.4"
"Harmonised Index of Consumer Prices","2020","Photographic and cinematographic equipment and optical instruments (COICOP 09.1.2)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2020","Information processing equipment (COICOP 09.1.3)","Base 2015=100","33.9"
"Harmonised Index of Consumer Prices","2020","Recording media (COICOP 09.1.4)","Base 2015=100","76.9"
"Harmonised Index of Consumer Prices","2020","Repair of audio-visual, photographic and information processing equipment (COICOP 09.1.5)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2020","Other major durables for recreation and culture (COICOP 09.2)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2020","Major durables for indoor and outdoor recreation including musical instruments (COICOP 09.2.1_2)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2020","Maintenance and repair of other major durables for recreation and culture (COICOP 09.2.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2020","Other recreational items and equipment, gardens and pets (COICOP 09.3)","Base 2015=100","75.8"
"Harmonised Index of Consumer Prices","2020","Games, toys and hobbies (COICOP 09.3.1)","Base 2015=100","65.8"
"Harmonised Index of Consumer Prices","2020","Equipment for sport, camping and open-air recreation (COICOP 09.3.2)","Base 2015=100","66.4"
"Harmonised Index of Consumer Prices","2020","Gardens, plants and flowers (COICOP 09.3.3)","Base 2015=100","75.5"
"Harmonised Index of Consumer Prices","2020","Pets and related products; veterinary and other services for pets (COICOP 09.3.4_5)","Base 2015=100","102"
"Harmonised Index of Consumer Prices","2020","Recreational and cultural services (COICOP 09.4)","Base 2015=100","109"
"Harmonised Index of Consumer Prices","2020","Recreational and sporting services (COICOP 09.4.1)","Base 2015=100","117.2"
"Harmonised Index of Consumer Prices","2020","Cultural services (COICOP 09.4.2)","Base 2015=100","103.7"
"Harmonised Index of Consumer Prices","2020","Newspapers, books and stationery (COICOP 09.5)","Base 2015=100","105.8"
"Harmonised Index of Consumer Prices","2020","Books (COICOP 09.5.1)","Base 2015=100","105.2"
"Harmonised Index of Consumer Prices","2020","Newspapers and periodicals (COICOP 09.5.2)","Base 2015=100","115.8"
"Harmonised Index of Consumer Prices","2020","Miscellaneous printed matter; stationery and drawing materials (COICOP 09.5.3_4)","Base 2015=100","93.8"
"Harmonised Index of Consumer Prices","2020","Package holidays (COICOP 09.6)","Base 2015=100","109.9"
"Harmonised Index of Consumer Prices","2020","Education (COICOP 10)","Base 2015=100","112.5"
"Harmonised Index of Consumer Prices","2020","Restaurants and hotels (COICOP 11)","Base 2015=100","111"
"Harmonised Index of Consumer Prices","2020","Catering services (COICOP 11.1)","Base 2015=100","110.5"
"Harmonised Index of Consumer Prices","2020","Restaurants, cafes and the like (COICOP 11.1.1)","Base 2015=100","110.8"
"Harmonised Index of Consumer Prices","2020","Canteens (COICOP 11.1.2)","Base 2015=100","105.7"
"Harmonised Index of Consumer Prices","2020","Accommodation services (COICOP 11.2)","Base 2015=100","115.3"
"Harmonised Index of Consumer Prices","2020","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.7"
"Harmonised Index of Consumer Prices","2020","Personal care (COICOP 12.1)","Base 2015=100","90.4"
"Harmonised Index of Consumer Prices","2020","Hairdressing salons and personal grooming establishments (COICOP 12.1.1)","Base 2015=100","112.2"
"Harmonised Index of Consumer Prices","2020","Electrical appliances for personal care; other appliances, articles and products for personal care (COICOP 12.1.2_3)","Base 2015=100","81"
