"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2012","Footwear (COICOP 03.2)","Base 2015=100","111"
"Harmonised Index of Consumer Prices","2012","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","87.2"
"Harmonised Index of Consumer Prices","2012","Actual rentals for housing (COICOP 04.1)","Base 2015=100","81.1"
"Harmonised Index of Consumer Prices","2012","Maintenance and repair of the dwelling (COICOP 04.3)","Base 2015=100","99"
"Harmonised Index of Consumer Prices","2012","Materials for the maintenance and repair of the dwelling (COICOP 04.3.1)","Base 2015=100","103.2"
"Harmonised Index of Consumer Prices","2012","Services for the maintenance and repair of the dwelling (COICOP 04.3.2)","Base 2015=100","96.1"
"Harmonised Index of Consumer Prices","2012","Water supply and miscellaneous services relating to the dwelling (COICOP 04.4)","Base 2015=100","55.7"
"Harmonised Index of Consumer Prices","2012","Water supply (COICOP 04.4.1)","Base 2015=100","36.4"
"Harmonised Index of Consumer Prices","2012","Refuse collection (COICOP 04.4.2)","Base 2015=100","94.8"
"Harmonised Index of Consumer Prices","2012","Sewerage collection (COICOP 04.4.3)","Base 2015=100","36.4"
"Harmonised Index of Consumer Prices","2012","Other services relating to the dwelling n.e.c. (COICOP 04.4.4)","Base 2015=100","104.1"
"Harmonised Index of Consumer Prices","2012","Electricity, gas and other fuels (COICOP 04.5)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2012","Electricity (COICOP 04.5.1)","Base 2015=100","91.6"
"Harmonised Index of Consumer Prices","2012","Gas (COICOP 04.5.2)","Base 2015=100","94.1"
"Harmonised Index of Consumer Prices","2012","Liquid fuels (COICOP 04.5.3)","Base 2015=100","138.8"
"Harmonised Index of Consumer Prices","2012","Solid fuels (COICOP 04.5.4)","Base 2015=100","88"
"Harmonised Index of Consumer Prices","2012","Heat energy (COICOP 04.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2012","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","109.3"
"Harmonised Index of Consumer Prices","2012","Furniture and furnishings, carpets and other floor coverings (COICOP 05.1)","Base 2015=100","124.3"
"Harmonised Index of Consumer Prices","2012","Furniture and furnishings (COICOP 05.1.1)","Base 2015=100","124.5"
"Harmonised Index of Consumer Prices","2012","Carpets and other floor coverings (COICOP 05.1.2)","Base 2015=100","104.9"
"Harmonised Index of Consumer Prices","2012","Repair of furniture, furnishings and floor coverings (COICOP 05.1.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2012","Household textiles (COICOP 05.2)","Base 2015=100","119.2"
"Harmonised Index of Consumer Prices","2012","Household appliances (COICOP 05.3)","Base 2015=100","105.3"
"Harmonised Index of Consumer Prices","2012","Major household appliances whether electric or not and small electric household appliances (COICOP 05.3.1_2)","Base 2015=100","105.7"
"Harmonised Index of Consumer Prices","2012","Repair of household appliances (COICOP 05.3.3)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2012","Glassware, tableware and household utensils (COICOP 05.4)","Base 2015=100","110.8"
"Harmonised Index of Consumer Prices","2012","Tools and equipment for house and garden (COICOP 05.5)","Base 2015=100","108.4"
"Harmonised Index of Consumer Prices","2012","Goods and services for routine household maintenance (COICOP 05.6)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2012","Non-durable household goods (COICOP 05.6.1)","Base 2015=100","104.9"
"Harmonised Index of Consumer Prices","2012","Domestic services and household services (COICOP 05.6.2)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2012","Health (COICOP 06)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2012","Medical products, appliances and equipment (COICOP 06.1)","Base 2015=100","99.4"
"Harmonised Index of Consumer Prices","2012","Pharmaceutical products (COICOP 06.1.1)","Base 2015=100","99.7"
"Harmonised Index of Consumer Prices","2012","Other medical products, therapeutic appliances and equipment (COICOP 06.1.2_3)","Base 2015=100","98.6"
"Harmonised Index of Consumer Prices","2012","Out-patient services (COICOP 06.2)","Base 2015=100","99.1"
"Harmonised Index of Consumer Prices","2012","Medical services and paramedical services (COICOP 06.2.1_3)","Base 2015=100","99.3"
"Harmonised Index of Consumer Prices","2012","Dental services (COICOP 06.2.2)","Base 2015=100","98.7"
"Harmonised Index of Consumer Prices","2012","Hospital services (COICOP 06.3)","Base 2015=100","100.5"
"Harmonised Index of Consumer Prices","2012","Transport (COICOP 07)","Base 2015=100","109.9"
"Harmonised Index of Consumer Prices","2012","Purchase of vehicles (COICOP 07.1)","Base 2015=100","109"
"Harmonised Index of Consumer Prices","2012","Motor cars (COICOP 07.1.1)","Base 2015=100","109"
"Harmonised Index of Consumer Prices","2012","Motor cycles, bicycles and animal drawn vehicles (COICOP 07.1.2_3_4)","Base 2015=100","106.8"
"Harmonised Index of Consumer Prices","2012","Operation of personal transport equipment (COICOP 07.2)","Base 2015=100","114.8"
"Harmonised Index of Consumer Prices","2012","Spare parts and accessories for personal transport equipment (COICOP 07.2.1)","Base 2015=100","101.6"
"Harmonised Index of Consumer Prices","2012","Fuels and lubricants for personal transport equipment (COICOP 07.2.2)","Base 2015=100","120.2"
"Harmonised Index of Consumer Prices","2012","Maintenance and repair of personal transport equipment (COICOP 07.2.3)","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2012","Other services in respect of personal transport equipment (COICOP 07.2.4)","Base 2015=100","97.4"
"Harmonised Index of Consumer Prices","2012","Transport services (COICOP 07.3)","Base 2015=100","96.1"
"Harmonised Index of Consumer Prices","2012","Passenger transport by railway (COICOP 07.3.1)","Base 2015=100","87"
"Harmonised Index of Consumer Prices","2012","Passenger transport by road (COICOP 07.3.2)","Base 2015=100","90.2"
"Harmonised Index of Consumer Prices","2012","Passenger transport by air (COICOP 07.3.3)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2012","Passenger transport by sea and inland waterway (COICOP 07.3.4)","Base 2015=100","93.5"
"Harmonised Index of Consumer Prices","2012","Combined passenger transport (COICOP 07.3.5)","Base 2015=100","85.5"
"Harmonised Index of Consumer Prices","2012","Other purchased transport services (COICOP 07.3.6)","Base 2015=100","99.9"
"Harmonised Index of Consumer Prices","2012","Communications (COICOP 08)","Base 2015=100","105"
"Harmonised Index of Consumer Prices","2012","Postal services (COICOP 08.1)","Base 2015=100","80.8"
"Harmonised Index of Consumer Prices","2012","Telephone and telefax equipment and services (COICOP 08.2_3)","Base 2015=100","106.2"
"Harmonised Index of Consumer Prices","2012","Recreation and culture (COICOP 09)","Base 2015=100","100.8"
"Harmonised Index of Consumer Prices","2012","Audio-visual, photographic and information processing equipment (COICOP 09.1)","Base 2015=100","134"
"Harmonised Index of Consumer Prices","2012","Equipment for the reception, recording and reproduction of sound and picture (COICOP 09.1.1)","Base 2015=100","132"
"Harmonised Index of Consumer Prices","2012","Photographic and cinematographic equipment and optical instruments (COICOP 09.1.2)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2012","Information processing equipment (COICOP 09.1.3)","Base 2015=100","163.4"
"Harmonised Index of Consumer Prices","2012","Recording media (COICOP 09.1.4)","Base 2015=100","121.3"
"Harmonised Index of Consumer Prices","2012","Repair of audio-visual, photographic and information processing equipment (COICOP 09.1.5)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2012","Other major durables for recreation and culture (COICOP 09.2)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2012","Major durables for indoor and outdoor recreation including musical instruments (COICOP 09.2.1_2)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2012","Maintenance and repair of other major durables for recreation and culture (COICOP 09.2.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2012","Other recreational items and equipment, gardens and pets (COICOP 09.3)","Base 2015=100","110"
"Harmonised Index of Consumer Prices","2012","Games, toys and hobbies (COICOP 09.3.1)","Base 2015=100","113.9"
"Harmonised Index of Consumer Prices","2012","Equipment for sport, camping and open-air recreation (COICOP 09.3.2)","Base 2015=100","118"
"Harmonised Index of Consumer Prices","2012","Gardens, plants and flowers (COICOP 09.3.3)","Base 2015=100","124.5"
"Harmonised Index of Consumer Prices","2012","Pets and related products; veterinary and other services for pets (COICOP 09.3.4_5)","Base 2015=100","93.8"
"Harmonised Index of Consumer Prices","2012","Recreational and cultural services (COICOP 09.4)","Base 2015=100","93.8"
"Harmonised Index of Consumer Prices","2012","Recreational and sporting services (COICOP 09.4.1)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2012","Cultural services (COICOP 09.4.2)","Base 2015=100","91.7"
"Harmonised Index of Consumer Prices","2012","Newspapers, books and stationery (COICOP 09.5)","Base 2015=100","94.6"
"Harmonised Index of Consumer Prices","2012","Books (COICOP 09.5.1)","Base 2015=100","92.3"
"Harmonised Index of Consumer Prices","2012","Newspapers and periodicals (COICOP 09.5.2)","Base 2015=100","94.7"
"Harmonised Index of Consumer Prices","2012","Miscellaneous printed matter; stationery and drawing materials (COICOP 09.5.3_4)","Base 2015=100","101.5"
"Harmonised Index of Consumer Prices","2012","Package holidays (COICOP 09.6)","Base 2015=100","96.4"
"Harmonised Index of Consumer Prices","2012","Education (COICOP 10)","Base 2015=100","87.2"
"Harmonised Index of Consumer Prices","2012","Restaurants and hotels (COICOP 11)","Base 2015=100","94.5"
"Harmonised Index of Consumer Prices","2012","Catering services (COICOP 11.1)","Base 2015=100","95.1"
"Harmonised Index of Consumer Prices","2012","Restaurants, cafes and the like (COICOP 11.1.1)","Base 2015=100","94.9"
"Harmonised Index of Consumer Prices","2012","Canteens (COICOP 11.1.2)","Base 2015=100","97.8"
"Harmonised Index of Consumer Prices","2012","Accommodation services (COICOP 11.2)","Base 2015=100","90.1"
"Harmonised Index of Consumer Prices","2012","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100.4"
"Harmonised Index of Consumer Prices","2012","Personal care (COICOP 12.1)","Base 2015=100","105.1"
"Harmonised Index of Consumer Prices","2012","Hairdressing salons and personal grooming establishments (COICOP 12.1.1)","Base 2015=100","97.6"
"Harmonised Index of Consumer Prices","2012","Electrical appliances for personal care; other appliances, articles and products for personal care (COICOP 12.1.2_3)","Base 2015=100","108.5"
"Harmonised Index of Consumer Prices","2012","Personal effects n.e.c. (COICOP 12.3)","Base 2015=100","128.5"
"Harmonised Index of Consumer Prices","2012","Jewellery, clocks and watches (COICOP 12.3.1)","Base 2015=100","107.1"
"Harmonised Index of Consumer Prices","2012","Other personal effects (COICOP 12.3.2)","Base 2015=100","148.5"
"Harmonised Index of Consumer Prices","2012","Social protection (COICOP 12.4)","Base 2015=100","97.1"
"Harmonised Index of Consumer Prices","2012","Insurance (COICOP 12.5)","Base 2015=100","84.5"
"Harmonised Index of Consumer Prices","2012","Insurance connected with the dwelling (COICOP 12.5.2)","Base 2015=100","103.5"
"Harmonised Index of Consumer Prices","2012","Insurance connected with health (COICOP 12.5.3)","Base 2015=100","83.3"
"Harmonised Index of Consumer Prices","2012","Insurance connected with transport (COICOP 12.5.4)","Base 2015=100","85.3"
"Harmonised Index of Consumer Prices","2012","Other insurance (COICOP 12.5.5)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2012","Financial services n.e.c. (COICOP 12.6)","Base 2015=100","88"
"Harmonised Index of Consumer Prices","2012","Other services n.e.c. (COICOP 12.7)","Base 2015=100","96"
"Harmonised Index of Consumer Prices","2012","Unprocessed food","Base 2015=100","103.9"
"Harmonised Index of Consumer Prices","2012","Non-energy industrial goods","Base 2015=100","108.4"
"Harmonised Index of Consumer Prices","2012","Energy","Base 2015=100","110.7"
"Harmonised Index of Consumer Prices","2012","Energy and unprocessed food","Base 2015=100","108.4"
"Harmonised Index of Consumer Prices","2012","HICP All items excluding energy","Base 2015=100","97.9"
