"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","2000","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","1022"
"Consumption of Personal Income at Current Market Prices","2000","CP052 - Household textiles","Euro Million","376"
"Consumption of Personal Income at Current Market Prices","2000","CP053 - Household appliances","Euro Million","533"
"Consumption of Personal Income at Current Market Prices","2000","CP054 - Glassware, tableware and household utensils","Euro Million","459"
"Consumption of Personal Income at Current Market Prices","2000","CP055 - Tools and equipment for house and garden","Euro Million","30"
"Consumption of Personal Income at Current Market Prices","2000","CP056 - Goods and services for routine household maintenance","Euro Million","1149"
"Consumption of Personal Income at Current Market Prices","2000","CP06 - Health","Euro Million","1241"
"Consumption of Personal Income at Current Market Prices","2000","CP061 - Medical products, appliances and equipment","Euro Million","449"
"Consumption of Personal Income at Current Market Prices","2000","CP062 - Out-patient services","Euro Million","323"
"Consumption of Personal Income at Current Market Prices","2000","CP063 - Hospital services","Euro Million","468"
"Consumption of Personal Income at Current Market Prices","2000","CP07 - Transport","Euro Million","6523"
"Consumption of Personal Income at Current Market Prices","2000","CP071 - Purchase of vehicles","Euro Million","3223"
"Consumption of Personal Income at Current Market Prices","2000","CP072 - Operation of personal transport equipment","Euro Million","2250"
"Consumption of Personal Income at Current Market Prices","2000","CP073 - Transport services","Euro Million","1051"
"Consumption of Personal Income at Current Market Prices","2000","CP08 - Communications","Euro Million","1076"
"Consumption of Personal Income at Current Market Prices","2000","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","2000","CP082 - Telephone and telefax equipment","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","2000","CP083 - Telephone and telefax services","Euro Million","1024"
"Consumption of Personal Income at Current Market Prices","2000","CP09 - Recreation and culture","Euro Million","3826"
"Consumption of Personal Income at Current Market Prices","2000","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","467"
"Consumption of Personal Income at Current Market Prices","2000","CP092 - Other major durables for recreation and culture","Euro Million","19"
"Consumption of Personal Income at Current Market Prices","2000","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","996"
"Consumption of Personal Income at Current Market Prices","2000","CP094 - Recreational and cultural services","Euro Million","1421"
"Consumption of Personal Income at Current Market Prices","2000","CP095 - Newspapers, books and stationery","Euro Million","707"
"Consumption of Personal Income at Current Market Prices","2000","CP096 - Package holidays","Euro Million","215"
"Consumption of Personal Income at Current Market Prices","2000","CP10 - Education","Euro Million","487"
"Consumption of Personal Income at Current Market Prices","2000","CP101 - Pre-primary and primary education","Euro Million","54"
"Consumption of Personal Income at Current Market Prices","2000","CP102 - Secondary education","Euro Million","71"
"Consumption of Personal Income at Current Market Prices","2000","CP103 - Post-secondary non-tertiary education","Euro Million","19"
"Consumption of Personal Income at Current Market Prices","2000","CP104 - Tertiary education","Euro Million","226"
"Consumption of Personal Income at Current Market Prices","2000","CP105 - Education not definable by level","Euro Million","116"
"Consumption of Personal Income at Current Market Prices","2000","CP11 - Restaurants and hotels","Euro Million","7131"
"Consumption of Personal Income at Current Market Prices","2000","CP111 - Catering services","Euro Million","6410"
"Consumption of Personal Income at Current Market Prices","2000","CP112 - Accommodation services","Euro Million","721"
"Consumption of Personal Income at Current Market Prices","2000","CP12 - Miscellaneous goods and services","Euro Million","5143"
"Consumption of Personal Income at Current Market Prices","2000","CP121 - Personal care","Euro Million","1313"
"Consumption of Personal Income at Current Market Prices","2000","CP123 - Personal effects n.e.c.","Euro Million","479"
"Consumption of Personal Income at Current Market Prices","2000","CP124 - Social protection","Euro Million","270"
"Consumption of Personal Income at Current Market Prices","2000","CP125 - Insurance","Euro Million","1216"
"Consumption of Personal Income at Current Market Prices","2000","CP126 - Financial services n.e.c.","Euro Million","1540"
"Consumption of Personal Income at Current Market Prices","2000","CP127 - Other services n.e.c.","Euro Million","269"
"Consumption of Personal Income at Current Market Prices","2000","Households Expenditure on Goods and Services in Ireland","Euro Million","50377"
"Consumption of Personal Income at Current Market Prices","2000","Total Expenditure of Households (National Concept)","Euro Million","50200"
"Consumption of Personal Income at Current Market Prices","2000","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","710"
"Consumption of Personal Income at Current Market Prices","2000","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","1262"
"Consumption of Personal Income at Current Market Prices","2000","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2000","CP142 - Government - Health","Euro Million","907"
"Consumption of Personal Income at Current Market Prices","2000","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2000","CP144 - Government - Education","Euro Million","206"
"Consumption of Personal Income at Current Market Prices","2000","CP145 - Government - Social Protection","Euro Million","149"
"Consumption of Personal Income at Current Market Prices","2000","Expenditure outside the State","Euro Million","2250"
"Consumption of Personal Income at Current Market Prices","2000","Expenditure by non-residents","Euro Million","2427"
"Consumption of Personal Income at Current Market Prices","2000","158. Personal consumption of goods and services at current market prices","Euro Million","52172"
"Consumption of Personal Income at Current Market Prices","2000","159. Taxes on personal income and wealth","Euro Million","14798"
"Consumption of Personal Income at Current Market Prices","2000","160. Total personal expenditure","Euro Million","66970"
"Consumption of Personal Income at Current Market Prices","2000","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","8946"
"Consumption of Personal Income at Current Market Prices","2000","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","61118"
"Consumption of Personal Income at Current Market Prices","2001","CP01 - Food and non-alcoholic beverages","Euro Million","6019"
"Consumption of Personal Income at Current Market Prices","2001","CP011 - Food","Euro Million","5549"
"Consumption of Personal Income at Current Market Prices","2001","CP012 - Non-alcoholic beverages","Euro Million","470"
"Consumption of Personal Income at Current Market Prices","2001","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","3914"
"Consumption of Personal Income at Current Market Prices","2001","CP021 - Alcoholic beverages","Euro Million","1388"
"Consumption of Personal Income at Current Market Prices","2001","CP022 - Tobacco","Euro Million","1846"
"Consumption of Personal Income at Current Market Prices","2001","CP023 - Narcotics","Euro Million","681"
"Consumption of Personal Income at Current Market Prices","2001","CP03 - Clothing and footwear","Euro Million","3459"
"Consumption of Personal Income at Current Market Prices","2001","CP031 - Clothing","Euro Million","2937"
"Consumption of Personal Income at Current Market Prices","2001","CP032 - Footwear","Euro Million","522"
"Consumption of Personal Income at Current Market Prices","2001","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","10102"
"Consumption of Personal Income at Current Market Prices","2001","CP041 - Actual rentals for housing","Euro Million","1170"
"Consumption of Personal Income at Current Market Prices","2001","CP042 - Imputed rentals for housing","Euro Million","7189"
"Consumption of Personal Income at Current Market Prices","2001","CP043 - Maintenance and repair of the dwelling","Euro Million","190"
"Consumption of Personal Income at Current Market Prices","2001","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","36"
"Consumption of Personal Income at Current Market Prices","2001","CP045 - Electricity, gas and other fuels","Euro Million","1517"
"Consumption of Personal Income at Current Market Prices","2001","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3927"
"Consumption of Personal Income at Current Market Prices","2001","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","1164"
"Consumption of Personal Income at Current Market Prices","2001","CP052 - Household textiles","Euro Million","374"
"Consumption of Personal Income at Current Market Prices","2001","CP053 - Household appliances","Euro Million","640"
"Consumption of Personal Income at Current Market Prices","2001","CP054 - Glassware, tableware and household utensils","Euro Million","468"
"Consumption of Personal Income at Current Market Prices","2001","CP055 - Tools and equipment for house and garden","Euro Million","33"
"Consumption of Personal Income at Current Market Prices","2001","CP056 - Goods and services for routine household maintenance","Euro Million","1249"
"Consumption of Personal Income at Current Market Prices","2001","CP06 - Health","Euro Million","1428"
"Consumption of Personal Income at Current Market Prices","2001","CP061 - Medical products, appliances and equipment","Euro Million","526"
"Consumption of Personal Income at Current Market Prices","2001","CP062 - Out-patient services","Euro Million","368"
"Consumption of Personal Income at Current Market Prices","2001","CP063 - Hospital services","Euro Million","533"
"Consumption of Personal Income at Current Market Prices","2001","CP07 - Transport","Euro Million","6024"
"Consumption of Personal Income at Current Market Prices","2001","CP071 - Purchase of vehicles","Euro Million","2659"
"Consumption of Personal Income at Current Market Prices","2001","CP072 - Operation of personal transport equipment","Euro Million","2255"
"Consumption of Personal Income at Current Market Prices","2001","CP073 - Transport services","Euro Million","1110"
"Consumption of Personal Income at Current Market Prices","2001","CP08 - Communications","Euro Million","1284"
"Consumption of Personal Income at Current Market Prices","2001","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","2001","CP082 - Telephone and telefax equipment","Euro Million","17"
"Consumption of Personal Income at Current Market Prices","2001","CP083 - Telephone and telefax services","Euro Million","1228"
"Consumption of Personal Income at Current Market Prices","2001","CP09 - Recreation and culture","Euro Million","4331"
"Consumption of Personal Income at Current Market Prices","2001","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","683"
"Consumption of Personal Income at Current Market Prices","2001","CP092 - Other major durables for recreation and culture","Euro Million","18"
"Consumption of Personal Income at Current Market Prices","2001","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","1099"
"Consumption of Personal Income at Current Market Prices","2001","CP094 - Recreational and cultural services","Euro Million","1547"
"Consumption of Personal Income at Current Market Prices","2001","CP095 - Newspapers, books and stationery","Euro Million","708"
"Consumption of Personal Income at Current Market Prices","2001","CP096 - Package holidays","Euro Million","276"
"Consumption of Personal Income at Current Market Prices","2001","CP10 - Education","Euro Million","534"
"Consumption of Personal Income at Current Market Prices","2001","CP101 - Pre-primary and primary education","Euro Million","63"
"Consumption of Personal Income at Current Market Prices","2001","CP102 - Secondary education","Euro Million","78"
"Consumption of Personal Income at Current Market Prices","2001","CP103 - Post-secondary non-tertiary education","Euro Million","21"
"Consumption of Personal Income at Current Market Prices","2001","CP104 - Tertiary education","Euro Million","244"
"Consumption of Personal Income at Current Market Prices","2001","CP105 - Education not definable by level","Euro Million","129"
"Consumption of Personal Income at Current Market Prices","2001","CP11 - Restaurants and hotels","Euro Million","7771"
"Consumption of Personal Income at Current Market Prices","2001","CP111 - Catering services","Euro Million","6999"
"Consumption of Personal Income at Current Market Prices","2001","CP112 - Accommodation services","Euro Million","772"
"Consumption of Personal Income at Current Market Prices","2001","CP12 - Miscellaneous goods and services","Euro Million","6023"
"Consumption of Personal Income at Current Market Prices","2001","CP121 - Personal care","Euro Million","1476"
"Consumption of Personal Income at Current Market Prices","2001","CP123 - Personal effects n.e.c.","Euro Million","509"
"Consumption of Personal Income at Current Market Prices","2001","CP124 - Social protection","Euro Million","324"
"Consumption of Personal Income at Current Market Prices","2001","CP125 - Insurance","Euro Million","1649"
"Consumption of Personal Income at Current Market Prices","2001","CP126 - Financial services n.e.c.","Euro Million","1692"
"Consumption of Personal Income at Current Market Prices","2001","CP127 - Other services n.e.c.","Euro Million","314"
"Consumption of Personal Income at Current Market Prices","2001","Households Expenditure on Goods and Services in Ireland","Euro Million","54817"
"Consumption of Personal Income at Current Market Prices","2001","Total Expenditure of Households (National Concept)","Euro Million","54882"
"Consumption of Personal Income at Current Market Prices","2001","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","757"
"Consumption of Personal Income at Current Market Prices","2001","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","1487"
"Consumption of Personal Income at Current Market Prices","2001","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2001","CP142 - Government - Health","Euro Million","1065"
"Consumption of Personal Income at Current Market Prices","2001","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2001","CP144 - Government - Education","Euro Million","242"
"Consumption of Personal Income at Current Market Prices","2001","CP145 - Government - Social Protection","Euro Million","180"
"Consumption of Personal Income at Current Market Prices","2001","Expenditure outside the State","Euro Million","2816"
"Consumption of Personal Income at Current Market Prices","2001","Expenditure by non-residents","Euro Million","2751"
"Consumption of Personal Income at Current Market Prices","2001","158. Personal consumption of goods and services at current market prices","Euro Million","57127"
"Consumption of Personal Income at Current Market Prices","2001","159. Taxes on personal income and wealth","Euro Million","15680"
"Consumption of Personal Income at Current Market Prices","2001","160. Total personal expenditure","Euro Million","72806"
"Consumption of Personal Income at Current Market Prices","2001","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","10676"
"Consumption of Personal Income at Current Market Prices","2001","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","67802"
"Consumption of Personal Income at Current Market Prices","2002","CP01 - Food and non-alcoholic beverages","Euro Million","6236"
"Consumption of Personal Income at Current Market Prices","2002","CP011 - Food","Euro Million","5708"
"Consumption of Personal Income at Current Market Prices","2002","CP012 - Non-alcoholic beverages","Euro Million","528"
"Consumption of Personal Income at Current Market Prices","2002","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4327"
"Consumption of Personal Income at Current Market Prices","2002","CP021 - Alcoholic beverages","Euro Million","1566"
"Consumption of Personal Income at Current Market Prices","2002","CP022 - Tobacco","Euro Million","2022"
"Consumption of Personal Income at Current Market Prices","2002","CP023 - Narcotics","Euro Million","740"
"Consumption of Personal Income at Current Market Prices","2002","CP03 - Clothing and footwear","Euro Million","3404"
"Consumption of Personal Income at Current Market Prices","2002","CP031 - Clothing","Euro Million","2871"
"Consumption of Personal Income at Current Market Prices","2002","CP032 - Footwear","Euro Million","533"
"Consumption of Personal Income at Current Market Prices","2002","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","11395"
"Consumption of Personal Income at Current Market Prices","2002","CP041 - Actual rentals for housing","Euro Million","1359"
"Consumption of Personal Income at Current Market Prices","2002","CP042 - Imputed rentals for housing","Euro Million","8143"
"Consumption of Personal Income at Current Market Prices","2002","CP043 - Maintenance and repair of the dwelling","Euro Million","208"
"Consumption of Personal Income at Current Market Prices","2002","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","71"
"Consumption of Personal Income at Current Market Prices","2002","CP045 - Electricity, gas and other fuels","Euro Million","1614"
"Consumption of Personal Income at Current Market Prices","2002","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","4064"
"Consumption of Personal Income at Current Market Prices","2002","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","1307"
"Consumption of Personal Income at Current Market Prices","2002","CP052 - Household textiles","Euro Million","388"
"Consumption of Personal Income at Current Market Prices","2002","CP053 - Household appliances","Euro Million","597"
"Consumption of Personal Income at Current Market Prices","2002","CP054 - Glassware, tableware and household utensils","Euro Million","438"
"Consumption of Personal Income at Current Market Prices","2002","CP055 - Tools and equipment for house and garden","Euro Million","35"
"Consumption of Personal Income at Current Market Prices","2002","CP056 - Goods and services for routine household maintenance","Euro Million","1299"
"Consumption of Personal Income at Current Market Prices","2002","CP06 - Health","Euro Million","1628"
"Consumption of Personal Income at Current Market Prices","2002","CP061 - Medical products, appliances and equipment","Euro Million","594"
"Consumption of Personal Income at Current Market Prices","2002","CP062 - Out-patient services","Euro Million","434"
"Consumption of Personal Income at Current Market Prices","2002","CP063 - Hospital services","Euro Million","600"
"Consumption of Personal Income at Current Market Prices","2002","CP07 - Transport","Euro Million","6316"
"Consumption of Personal Income at Current Market Prices","2002","CP071 - Purchase of vehicles","Euro Million","2705"
"Consumption of Personal Income at Current Market Prices","2002","CP072 - Operation of personal transport equipment","Euro Million","2433"
"Consumption of Personal Income at Current Market Prices","2002","CP073 - Transport services","Euro Million","1178"
"Consumption of Personal Income at Current Market Prices","2002","CP08 - Communications","Euro Million","1498"
"Consumption of Personal Income at Current Market Prices","2002","CP081 - Postal services","Euro Million","41"
"Consumption of Personal Income at Current Market Prices","2002","CP082 - Telephone and telefax equipment","Euro Million","34"
"Consumption of Personal Income at Current Market Prices","2002","CP083 - Telephone and telefax services","Euro Million","1423"
"Consumption of Personal Income at Current Market Prices","2002","CP09 - Recreation and culture","Euro Million","4507"
"Consumption of Personal Income at Current Market Prices","2002","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","740"
"Consumption of Personal Income at Current Market Prices","2002","CP092 - Other major durables for recreation and culture","Euro Million","25"
"Consumption of Personal Income at Current Market Prices","2002","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","782"
"Consumption of Personal Income at Current Market Prices","2002","CP094 - Recreational and cultural services","Euro Million","1808"
"Consumption of Personal Income at Current Market Prices","2002","CP095 - Newspapers, books and stationery","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","2002","CP096 - Package holidays","Euro Million","332"
"Consumption of Personal Income at Current Market Prices","2002","CP10 - Education","Euro Million","668"
"Consumption of Personal Income at Current Market Prices","2002","CP101 - Pre-primary and primary education","Euro Million","75"
"Consumption of Personal Income at Current Market Prices","2002","CP102 - Secondary education","Euro Million","86"
"Consumption of Personal Income at Current Market Prices","2002","CP103 - Post-secondary non-tertiary education","Euro Million","24"
"Consumption of Personal Income at Current Market Prices","2002","CP104 - Tertiary education","Euro Million","335"
"Consumption of Personal Income at Current Market Prices","2002","CP105 - Education not definable by level","Euro Million","147"
"Consumption of Personal Income at Current Market Prices","2002","CP11 - Restaurants and hotels","Euro Million","8441"
"Consumption of Personal Income at Current Market Prices","2002","CP111 - Catering services","Euro Million","7655"
"Consumption of Personal Income at Current Market Prices","2002","CP112 - Accommodation services","Euro Million","787"
"Consumption of Personal Income at Current Market Prices","2002","CP12 - Miscellaneous goods and services","Euro Million","6600"
"Consumption of Personal Income at Current Market Prices","2002","CP121 - Personal care","Euro Million","1801"
"Consumption of Personal Income at Current Market Prices","2002","CP123 - Personal effects n.e.c.","Euro Million","528"
"Consumption of Personal Income at Current Market Prices","2002","CP124 - Social protection","Euro Million","368"
"Consumption of Personal Income at Current Market Prices","2002","CP125 - Insurance","Euro Million","1663"
"Consumption of Personal Income at Current Market Prices","2002","CP126 - Financial services n.e.c.","Euro Million","1863"
"Consumption of Personal Income at Current Market Prices","2002","CP127 - Other services n.e.c.","Euro Million","314"
"Consumption of Personal Income at Current Market Prices","2002","Households Expenditure on Goods and Services in Ireland","Euro Million","59084"
"Consumption of Personal Income at Current Market Prices","2002","Total Expenditure of Households (National Concept)","Euro Million","59687"
"Consumption of Personal Income at Current Market Prices","2002","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","916"
"Consumption of Personal Income at Current Market Prices","2002","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","1859"
"Consumption of Personal Income at Current Market Prices","2002","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2002","CP142 - Government - Health","Euro Million","1380"
"Consumption of Personal Income at Current Market Prices","2002","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2002","CP144 - Government - Education","Euro Million","263"
"Consumption of Personal Income at Current Market Prices","2002","CP145 - Government - Social Protection","Euro Million","216"
"Consumption of Personal Income at Current Market Prices","2002","Expenditure outside the State","Euro Million","3494"
"Consumption of Personal Income at Current Market Prices","2002","Expenditure by non-residents","Euro Million","2891"
"Consumption of Personal Income at Current Market Prices","2002","158. Personal consumption of goods and services at current market prices","Euro Million","62461"
"Consumption of Personal Income at Current Market Prices","2002","159. Taxes on personal income and wealth","Euro Million","16392"
"Consumption of Personal Income at Current Market Prices","2002","160. Total personal expenditure","Euro Million","78853"
"Consumption of Personal Income at Current Market Prices","2002","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","12335"
"Consumption of Personal Income at Current Market Prices","2002","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","74796"
"Consumption of Personal Income at Current Market Prices","2003","CP01 - Food and non-alcoholic beverages","Euro Million","6285"
"Consumption of Personal Income at Current Market Prices","2003","CP011 - Food","Euro Million","5742"
"Consumption of Personal Income at Current Market Prices","2003","CP012 - Non-alcoholic beverages","Euro Million","544"
"Consumption of Personal Income at Current Market Prices","2003","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4385"
"Consumption of Personal Income at Current Market Prices","2003","CP021 - Alcoholic beverages","Euro Million","1559"
"Consumption of Personal Income at Current Market Prices","2003","CP022 - Tobacco","Euro Million","2038"
"Consumption of Personal Income at Current Market Prices","2003","CP023 - Narcotics","Euro Million","788"
"Consumption of Personal Income at Current Market Prices","2003","CP03 - Clothing and footwear","Euro Million","3209"
"Consumption of Personal Income at Current Market Prices","2003","CP031 - Clothing","Euro Million","2701"
"Consumption of Personal Income at Current Market Prices","2003","CP032 - Footwear","Euro Million","508"
"Consumption of Personal Income at Current Market Prices","2003","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","12613"
"Consumption of Personal Income at Current Market Prices","2003","CP041 - Actual rentals for housing","Euro Million","1567"
"Consumption of Personal Income at Current Market Prices","2003","CP042 - Imputed rentals for housing","Euro Million","8927"
"Consumption of Personal Income at Current Market Prices","2003","CP043 - Maintenance and repair of the dwelling","Euro Million","226"
"Consumption of Personal Income at Current Market Prices","2003","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","107"
"Consumption of Personal Income at Current Market Prices","2003","CP045 - Electricity, gas and other fuels","Euro Million","1786"
"Consumption of Personal Income at Current Market Prices","2003","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","4304"
"Consumption of Personal Income at Current Market Prices","2003","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","1384"
"Consumption of Personal Income at Current Market Prices","2003","CP052 - Household textiles","Euro Million","407"
"Consumption of Personal Income at Current Market Prices","2003","CP053 - Household appliances","Euro Million","679"
"Consumption of Personal Income at Current Market Prices","2003","CP054 - Glassware, tableware and household utensils","Euro Million","434"
"Consumption of Personal Income at Current Market Prices","2003","CP055 - Tools and equipment for house and garden","Euro Million","45"
"Consumption of Personal Income at Current Market Prices","2003","CP056 - Goods and services for routine household maintenance","Euro Million","1355"
"Consumption of Personal Income at Current Market Prices","2003","CP06 - Health","Euro Million","1856"
"Consumption of Personal Income at Current Market Prices","2003","CP061 - Medical products, appliances and equipment","Euro Million","657"
"Consumption of Personal Income at Current Market Prices","2003","CP062 - Out-patient services","Euro Million","499"
"Consumption of Personal Income at Current Market Prices","2003","CP063 - Hospital services","Euro Million","700"
"Consumption of Personal Income at Current Market Prices","2003","CP07 - Transport","Euro Million","6733"
"Consumption of Personal Income at Current Market Prices","2003","CP071 - Purchase of vehicles","Euro Million","2785"
"Consumption of Personal Income at Current Market Prices","2003","CP072 - Operation of personal transport equipment","Euro Million","2550"
"Consumption of Personal Income at Current Market Prices","2003","CP073 - Transport services","Euro Million","1398"
"Consumption of Personal Income at Current Market Prices","2003","CP08 - Communications","Euro Million","1788"
"Consumption of Personal Income at Current Market Prices","2003","CP081 - Postal services","Euro Million","44"
"Consumption of Personal Income at Current Market Prices","2003","CP082 - Telephone and telefax equipment","Euro Million","51"
"Consumption of Personal Income at Current Market Prices","2003","CP083 - Telephone and telefax services","Euro Million","1693"
"Consumption of Personal Income at Current Market Prices","2003","CP09 - Recreation and culture","Euro Million","4705"
"Consumption of Personal Income at Current Market Prices","2003","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","779"
"Consumption of Personal Income at Current Market Prices","2003","CP092 - Other major durables for recreation and culture","Euro Million","25"
"Consumption of Personal Income at Current Market Prices","2003","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","821"
"Consumption of Personal Income at Current Market Prices","2003","CP094 - Recreational and cultural services","Euro Million","1869"
"Consumption of Personal Income at Current Market Prices","2003","CP095 - Newspapers, books and stationery","Euro Million","849"
"Consumption of Personal Income at Current Market Prices","2003","CP096 - Package holidays","Euro Million","363"
"Consumption of Personal Income at Current Market Prices","2003","CP10 - Education","Euro Million","778"
"Consumption of Personal Income at Current Market Prices","2003","CP101 - Pre-primary and primary education","Euro Million","89"
"Consumption of Personal Income at Current Market Prices","2003","CP102 - Secondary education","Euro Million","97"
"Consumption of Personal Income at Current Market Prices","2003","CP103 - Post-secondary non-tertiary education","Euro Million","26"
"Consumption of Personal Income at Current Market Prices","2003","CP104 - Tertiary education","Euro Million","404"
"Consumption of Personal Income at Current Market Prices","2003","CP105 - Education not definable by level","Euro Million","162"
"Consumption of Personal Income at Current Market Prices","2003","CP11 - Restaurants and hotels","Euro Million","8920"
"Consumption of Personal Income at Current Market Prices","2003","CP111 - Catering services","Euro Million","8053"
"Consumption of Personal Income at Current Market Prices","2003","CP112 - Accommodation services","Euro Million","867"
"Consumption of Personal Income at Current Market Prices","2003","CP12 - Miscellaneous goods and services","Euro Million","7465"
"Consumption of Personal Income at Current Market Prices","2003","CP121 - Personal care","Euro Million","2095"
"Consumption of Personal Income at Current Market Prices","2003","CP123 - Personal effects n.e.c.","Euro Million","469"
"Consumption of Personal Income at Current Market Prices","2003","CP124 - Social protection","Euro Million","432"
"Consumption of Personal Income at Current Market Prices","2003","CP125 - Insurance","Euro Million","2101"
"Consumption of Personal Income at Current Market Prices","2003","CP126 - Financial services n.e.c.","Euro Million","1981"
"Consumption of Personal Income at Current Market Prices","2003","CP127 - Other services n.e.c.","Euro Million","321"
"Consumption of Personal Income at Current Market Prices","2003","Households Expenditure on Goods and Services in Ireland","Euro Million","63042"
"Consumption of Personal Income at Current Market Prices","2003","Total Expenditure of Households (National Concept)","Euro Million","63669"
"Consumption of Personal Income at Current Market Prices","2003","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","1061"
"Consumption of Personal Income at Current Market Prices","2003","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","2068"
"Consumption of Personal Income at Current Market Prices","2003","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2003","CP142 - Government - Health","Euro Million","1537"
"Consumption of Personal Income at Current Market Prices","2003","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2003","CP144 - Government - Education","Euro Million","274"
"Consumption of Personal Income at Current Market Prices","2003","CP145 - Government - Social Protection","Euro Million","257"
"Consumption of Personal Income at Current Market Prices","2003","Expenditure outside the State","Euro Million","3736"
"Consumption of Personal Income at Current Market Prices","2003","Expenditure by non-residents","Euro Million","3109"
"Consumption of Personal Income at Current Market Prices","2003","158. Personal consumption of goods and services at current market prices","Euro Million","66798"
"Consumption of Personal Income at Current Market Prices","2003","159. Taxes on personal income and wealth","Euro Million","18089"
"Consumption of Personal Income at Current Market Prices","2003","160. Total personal expenditure","Euro Million","84887"
"Consumption of Personal Income at Current Market Prices","2003","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","13490"
"Consumption of Personal Income at Current Market Prices","2003","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","80288"
"Consumption of Personal Income at Current Market Prices","2004","CP01 - Food and non-alcoholic beverages","Euro Million","6400"
"Consumption of Personal Income at Current Market Prices","2004","CP011 - Food","Euro Million","5875"
"Consumption of Personal Income at Current Market Prices","2004","CP012 - Non-alcoholic beverages","Euro Million","525"
"Consumption of Personal Income at Current Market Prices","2004","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4290"
"Consumption of Personal Income at Current Market Prices","2004","CP021 - Alcoholic beverages","Euro Million","1627"
"Consumption of Personal Income at Current Market Prices","2004","CP022 - Tobacco","Euro Million","1849"
"Consumption of Personal Income at Current Market Prices","2004","CP023 - Narcotics","Euro Million","813"
"Consumption of Personal Income at Current Market Prices","2004","CP03 - Clothing and footwear","Euro Million","3147"
"Consumption of Personal Income at Current Market Prices","2004","CP031 - Clothing","Euro Million","2645"
"Consumption of Personal Income at Current Market Prices","2004","CP032 - Footwear","Euro Million","502"
"Consumption of Personal Income at Current Market Prices","2004","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","13275"
