"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","1995","Households Expenditure on Goods and Services in Ireland","Euro Million","28482"
"Consumption of Personal Income at Current Market Prices","1995","Total Expenditure of Households (National Concept)","Euro Million","28016"
"Consumption of Personal Income at Current Market Prices","1995","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","682"
"Consumption of Personal Income at Current Market Prices","1995","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","453"
"Consumption of Personal Income at Current Market Prices","1995","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1995","CP142 - Government - Health","Euro Million","287"
"Consumption of Personal Income at Current Market Prices","1995","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1995","CP144 - Government - Education","Euro Million","50"
"Consumption of Personal Income at Current Market Prices","1995","CP145 - Government - Social Protection","Euro Million","117"
"Consumption of Personal Income at Current Market Prices","1995","Expenditure outside the State","Euro Million","1293"
"Consumption of Personal Income at Current Market Prices","1995","Expenditure by non-residents","Euro Million","1759"
"Consumption of Personal Income at Current Market Prices","1995","158. Personal consumption of goods and services at current market prices","Euro Million","29151"
"Consumption of Personal Income at Current Market Prices","1995","159. Taxes on personal income and wealth","Euro Million","7971"
"Consumption of Personal Income at Current Market Prices","1995","160. Total personal expenditure","Euro Million","37122"
"Consumption of Personal Income at Current Market Prices","1995","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","5354"
"Consumption of Personal Income at Current Market Prices","1995","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","34505"
"Consumption of Personal Income at Current Market Prices","1996","CP01 - Food and non-alcoholic beverages","Euro Million","4506"
"Consumption of Personal Income at Current Market Prices","1996","CP011 - Food","Euro Million","4127"
"Consumption of Personal Income at Current Market Prices","1996","CP012 - Non-alcoholic beverages","Euro Million","379"
"Consumption of Personal Income at Current Market Prices","1996","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2388"
"Consumption of Personal Income at Current Market Prices","1996","CP021 - Alcoholic beverages","Euro Million","755"
"Consumption of Personal Income at Current Market Prices","1996","CP022 - Tobacco","Euro Million","1235"
"Consumption of Personal Income at Current Market Prices","1996","CP023 - Narcotics","Euro Million","398"
"Consumption of Personal Income at Current Market Prices","1996","CP03 - Clothing and footwear","Euro Million","2177"
"Consumption of Personal Income at Current Market Prices","1996","CP031 - Clothing","Euro Million","1764"
"Consumption of Personal Income at Current Market Prices","1996","CP032 - Footwear","Euro Million","413"
"Consumption of Personal Income at Current Market Prices","1996","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","4871"
"Consumption of Personal Income at Current Market Prices","1996","CP041 - Actual rentals for housing","Euro Million","481"
"Consumption of Personal Income at Current Market Prices","1996","CP042 - Imputed rentals for housing","Euro Million","3096"
"Consumption of Personal Income at Current Market Prices","1996","CP043 - Maintenance and repair of the dwelling","Euro Million","123"
"Consumption of Personal Income at Current Market Prices","1996","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","25"
"Consumption of Personal Income at Current Market Prices","1996","CP045 - Electricity, gas and other fuels","Euro Million","1147"
"Consumption of Personal Income at Current Market Prices","1996","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","2228"
"Consumption of Personal Income at Current Market Prices","1996","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","601"
"Consumption of Personal Income at Current Market Prices","1996","CP052 - Household textiles","Euro Million","199"
"Consumption of Personal Income at Current Market Prices","1996","CP053 - Household appliances","Euro Million","321"
"Consumption of Personal Income at Current Market Prices","1996","CP054 - Glassware, tableware and household utensils","Euro Million","319"
"Consumption of Personal Income at Current Market Prices","1996","CP055 - Tools and equipment for house and garden","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","1996","CP056 - Goods and services for routine household maintenance","Euro Million","775"
"Consumption of Personal Income at Current Market Prices","1996","CP06 - Health","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","1996","CP061 - Medical products, appliances and equipment","Euro Million","224"
"Consumption of Personal Income at Current Market Prices","1996","CP062 - Out-patient services","Euro Million","232"
"Consumption of Personal Income at Current Market Prices","1996","CP063 - Hospital services","Euro Million","364"
"Consumption of Personal Income at Current Market Prices","1996","CP07 - Transport","Euro Million","3425"
"Consumption of Personal Income at Current Market Prices","1996","CP071 - Purchase of vehicles","Euro Million","1318"
"Consumption of Personal Income at Current Market Prices","1996","CP072 - Operation of personal transport equipment","Euro Million","1377"
"Consumption of Personal Income at Current Market Prices","1996","CP073 - Transport services","Euro Million","730"
"Consumption of Personal Income at Current Market Prices","1996","CP08 - Communications","Euro Million","601"
"Consumption of Personal Income at Current Market Prices","1996","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1996","CP082 - Telephone and telefax equipment","Euro Million","5"
"Consumption of Personal Income at Current Market Prices","1996","CP083 - Telephone and telefax services","Euro Million","557"
"Consumption of Personal Income at Current Market Prices","1996","CP09 - Recreation and culture","Euro Million","2522"
"Consumption of Personal Income at Current Market Prices","1996","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","393"
"Consumption of Personal Income at Current Market Prices","1996","CP092 - Other major durables for recreation and culture","Euro Million","18"
"Consumption of Personal Income at Current Market Prices","1996","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","465"
"Consumption of Personal Income at Current Market Prices","1996","CP094 - Recreational and cultural services","Euro Million","1003"
"Consumption of Personal Income at Current Market Prices","1996","CP095 - Newspapers, books and stationery","Euro Million","527"
"Consumption of Personal Income at Current Market Prices","1996","CP096 - Package holidays","Euro Million","115"
"Consumption of Personal Income at Current Market Prices","1996","CP10 - Education","Euro Million","677"
"Consumption of Personal Income at Current Market Prices","1996","CP101 - Pre-primary and primary education","Euro Million","36"
"Consumption of Personal Income at Current Market Prices","1996","CP102 - Secondary education","Euro Million","57"
"Consumption of Personal Income at Current Market Prices","1996","CP103 - Post-secondary non-tertiary education","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","1996","CP104 - Tertiary education","Euro Million","483"
"Consumption of Personal Income at Current Market Prices","1996","CP105 - Education not definable by level","Euro Million","88"
"Consumption of Personal Income at Current Market Prices","1996","CP11 - Restaurants and hotels","Euro Million","4395"
"Consumption of Personal Income at Current Market Prices","1996","CP111 - Catering services","Euro Million","3988"
"Consumption of Personal Income at Current Market Prices","1996","CP112 - Accommodation services","Euro Million","407"
"Consumption of Personal Income at Current Market Prices","1996","CP12 - Miscellaneous goods and services","Euro Million","2760"
"Consumption of Personal Income at Current Market Prices","1996","CP121 - Personal care","Euro Million","672"
"Consumption of Personal Income at Current Market Prices","1996","CP123 - Personal effects n.e.c.","Euro Million","227"
"Consumption of Personal Income at Current Market Prices","1996","CP124 - Social protection","Euro Million","164"
"Consumption of Personal Income at Current Market Prices","1996","CP125 - Insurance","Euro Million","768"
"Consumption of Personal Income at Current Market Prices","1996","CP126 - Financial services n.e.c.","Euro Million","723"
"Consumption of Personal Income at Current Market Prices","1996","CP127 - Other services n.e.c.","Euro Million","159"
"Consumption of Personal Income at Current Market Prices","1996","Households Expenditure on Goods and Services in Ireland","Euro Million","31370"
"Consumption of Personal Income at Current Market Prices","1996","Total Expenditure of Households (National Concept)","Euro Million","31016"
"Consumption of Personal Income at Current Market Prices","1996","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","701"
"Consumption of Personal Income at Current Market Prices","1996","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","536"
"Consumption of Personal Income at Current Market Prices","1996","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1996","CP142 - Government - Health","Euro Million","361"
"Consumption of Personal Income at Current Market Prices","1996","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1996","CP144 - Government - Education","Euro Million","51"
"Consumption of Personal Income at Current Market Prices","1996","CP145 - Government - Social Protection","Euro Million","124"
"Consumption of Personal Income at Current Market Prices","1996","Expenditure outside the State","Euro Million","1356"
"Consumption of Personal Income at Current Market Prices","1996","Expenditure by non-residents","Euro Million","1710"
"Consumption of Personal Income at Current Market Prices","1996","158. Personal consumption of goods and services at current market prices","Euro Million","32253"
"Consumption of Personal Income at Current Market Prices","1996","159. Taxes on personal income and wealth","Euro Million","8681"
"Consumption of Personal Income at Current Market Prices","1996","160. Total personal expenditure","Euro Million","40934"
"Consumption of Personal Income at Current Market Prices","1996","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","5632"
"Consumption of Personal Income at Current Market Prices","1996","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","37884"
"Consumption of Personal Income at Current Market Prices","1997","CP01 - Food and non-alcoholic beverages","Euro Million","4533"
"Consumption of Personal Income at Current Market Prices","1997","CP011 - Food","Euro Million","4120"
"Consumption of Personal Income at Current Market Prices","1997","CP012 - Non-alcoholic beverages","Euro Million","413"
"Consumption of Personal Income at Current Market Prices","1997","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2593"
"Consumption of Personal Income at Current Market Prices","1997","CP021 - Alcoholic beverages","Euro Million","842"
"Consumption of Personal Income at Current Market Prices","1997","CP022 - Tobacco","Euro Million","1313"
"Consumption of Personal Income at Current Market Prices","1997","CP023 - Narcotics","Euro Million","438"
"Consumption of Personal Income at Current Market Prices","1997","CP03 - Clothing and footwear","Euro Million","2392"
"Consumption of Personal Income at Current Market Prices","1997","CP031 - Clothing","Euro Million","1982"
"Consumption of Personal Income at Current Market Prices","1997","CP032 - Footwear","Euro Million","410"
"Consumption of Personal Income at Current Market Prices","1997","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","5692"
"Consumption of Personal Income at Current Market Prices","1997","CP041 - Actual rentals for housing","Euro Million","583"
"Consumption of Personal Income at Current Market Prices","1997","CP042 - Imputed rentals for housing","Euro Million","3737"
"Consumption of Personal Income at Current Market Prices","1997","CP043 - Maintenance and repair of the dwelling","Euro Million","135"
"Consumption of Personal Income at Current Market Prices","1997","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","3"
"Consumption of Personal Income at Current Market Prices","1997","CP045 - Electricity, gas and other fuels","Euro Million","1233"
"Consumption of Personal Income at Current Market Prices","1997","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","2442"
"Consumption of Personal Income at Current Market Prices","1997","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","680"
"Consumption of Personal Income at Current Market Prices","1997","CP052 - Household textiles","Euro Million","213"
"Consumption of Personal Income at Current Market Prices","1997","CP053 - Household appliances","Euro Million","340"
"Consumption of Personal Income at Current Market Prices","1997","CP054 - Glassware, tableware and household utensils","Euro Million","330"
"Consumption of Personal Income at Current Market Prices","1997","CP055 - Tools and equipment for house and garden","Euro Million","16"
"Consumption of Personal Income at Current Market Prices","1997","CP056 - Goods and services for routine household maintenance","Euro Million","862"
"Consumption of Personal Income at Current Market Prices","1997","CP06 - Health","Euro Million","884"
"Consumption of Personal Income at Current Market Prices","1997","CP061 - Medical products, appliances and equipment","Euro Million","252"
"Consumption of Personal Income at Current Market Prices","1997","CP062 - Out-patient services","Euro Million","244"
"Consumption of Personal Income at Current Market Prices","1997","CP063 - Hospital services","Euro Million","387"
"Consumption of Personal Income at Current Market Prices","1997","CP07 - Transport","Euro Million","4032"
"Consumption of Personal Income at Current Market Prices","1997","CP071 - Purchase of vehicles","Euro Million","1610"
"Consumption of Personal Income at Current Market Prices","1997","CP072 - Operation of personal transport equipment","Euro Million","1603"
"Consumption of Personal Income at Current Market Prices","1997","CP073 - Transport services","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","1997","CP08 - Communications","Euro Million","686"
"Consumption of Personal Income at Current Market Prices","1997","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1997","CP082 - Telephone and telefax equipment","Euro Million","7"
"Consumption of Personal Income at Current Market Prices","1997","CP083 - Telephone and telefax services","Euro Million","641"
"Consumption of Personal Income at Current Market Prices","1997","CP09 - Recreation and culture","Euro Million","2621"
"Consumption of Personal Income at Current Market Prices","1997","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","395"
"Consumption of Personal Income at Current Market Prices","1997","CP092 - Other major durables for recreation and culture","Euro Million","9"
"Consumption of Personal Income at Current Market Prices","1997","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","465"
"Consumption of Personal Income at Current Market Prices","1997","CP094 - Recreational and cultural services","Euro Million","1075"
"Consumption of Personal Income at Current Market Prices","1997","CP095 - Newspapers, books and stationery","Euro Million","549"
"Consumption of Personal Income at Current Market Prices","1997","CP096 - Package holidays","Euro Million","127"
"Consumption of Personal Income at Current Market Prices","1997","CP10 - Education","Euro Million","349"
"Consumption of Personal Income at Current Market Prices","1997","CP101 - Pre-primary and primary education","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1997","CP102 - Secondary education","Euro Million","59"
"Consumption of Personal Income at Current Market Prices","1997","CP103 - Post-secondary non-tertiary education","Euro Million","14"
"Consumption of Personal Income at Current Market Prices","1997","CP104 - Tertiary education","Euro Million","144"
"Consumption of Personal Income at Current Market Prices","1997","CP105 - Education not definable by level","Euro Million","93"
"Consumption of Personal Income at Current Market Prices","1997","CP11 - Restaurants and hotels","Euro Million","5025"
"Consumption of Personal Income at Current Market Prices","1997","CP111 - Catering services","Euro Million","4533"
"Consumption of Personal Income at Current Market Prices","1997","CP112 - Accommodation services","Euro Million","491"
"Consumption of Personal Income at Current Market Prices","1997","CP12 - Miscellaneous goods and services","Euro Million","3157"
"Consumption of Personal Income at Current Market Prices","1997","CP121 - Personal care","Euro Million","734"
"Consumption of Personal Income at Current Market Prices","1997","CP123 - Personal effects n.e.c.","Euro Million","273"
"Consumption of Personal Income at Current Market Prices","1997","CP124 - Social protection","Euro Million","186"
"Consumption of Personal Income at Current Market Prices","1997","CP125 - Insurance","Euro Million","864"
"Consumption of Personal Income at Current Market Prices","1997","CP126 - Financial services n.e.c.","Euro Million","886"
"Consumption of Personal Income at Current Market Prices","1997","CP127 - Other services n.e.c.","Euro Million","166"
"Consumption of Personal Income at Current Market Prices","1997","Households Expenditure on Goods and Services in Ireland","Euro Million","34405"
"Consumption of Personal Income at Current Market Prices","1997","Total Expenditure of Households (National Concept)","Euro Million","34058"
"Consumption of Personal Income at Current Market Prices","1997","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","777"
"Consumption of Personal Income at Current Market Prices","1997","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","669"
"Consumption of Personal Income at Current Market Prices","1997","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1997","CP142 - Government - Health","Euro Million","400"
"Consumption of Personal Income at Current Market Prices","1997","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1997","CP144 - Government - Education","Euro Million","137"
"Consumption of Personal Income at Current Market Prices","1997","CP145 - Government - Social Protection","Euro Million","132"
"Consumption of Personal Income at Current Market Prices","1997","Expenditure outside the State","Euro Million","1524"
"Consumption of Personal Income at Current Market Prices","1997","Expenditure by non-residents","Euro Million","1871"
"Consumption of Personal Income at Current Market Prices","1997","158. Personal consumption of goods and services at current market prices","Euro Million","35504"
"Consumption of Personal Income at Current Market Prices","1997","159. Taxes on personal income and wealth","Euro Million","9790"
"Consumption of Personal Income at Current Market Prices","1997","160. Total personal expenditure","Euro Million","45294"
"Consumption of Personal Income at Current Market Prices","1997","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","6285"
"Consumption of Personal Income at Current Market Prices","1997","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","41789"
"Consumption of Personal Income at Current Market Prices","1998","CP01 - Food and non-alcoholic beverages","Euro Million","4711"
"Consumption of Personal Income at Current Market Prices","1998","CP011 - Food","Euro Million","4267"
"Consumption of Personal Income at Current Market Prices","1998","CP012 - Non-alcoholic beverages","Euro Million","445"
"Consumption of Personal Income at Current Market Prices","1998","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2840"
"Consumption of Personal Income at Current Market Prices","1998","CP021 - Alcoholic beverages","Euro Million","944"
"Consumption of Personal Income at Current Market Prices","1998","CP022 - Tobacco","Euro Million","1409"
"Consumption of Personal Income at Current Market Prices","1998","CP023 - Narcotics","Euro Million","487"
"Consumption of Personal Income at Current Market Prices","1998","CP03 - Clothing and footwear","Euro Million","2678"
"Consumption of Personal Income at Current Market Prices","1998","CP031 - Clothing","Euro Million","2215"
"Consumption of Personal Income at Current Market Prices","1998","CP032 - Footwear","Euro Million","463"
"Consumption of Personal Income at Current Market Prices","1998","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","6656"
"Consumption of Personal Income at Current Market Prices","1998","CP041 - Actual rentals for housing","Euro Million","706"
"Consumption of Personal Income at Current Market Prices","1998","CP042 - Imputed rentals for housing","Euro Million","4514"
"Consumption of Personal Income at Current Market Prices","1998","CP043 - Maintenance and repair of the dwelling","Euro Million","147"
"Consumption of Personal Income at Current Market Prices","1998","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","6"
"Consumption of Personal Income at Current Market Prices","1998","CP045 - Electricity, gas and other fuels","Euro Million","1284"
"Consumption of Personal Income at Current Market Prices","1998","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","2727"
"Consumption of Personal Income at Current Market Prices","1998","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","798"
"Consumption of Personal Income at Current Market Prices","1998","CP052 - Household textiles","Euro Million","237"
"Consumption of Personal Income at Current Market Prices","1998","CP053 - Household appliances","Euro Million","335"
"Consumption of Personal Income at Current Market Prices","1998","CP054 - Glassware, tableware and household utensils","Euro Million","377"
"Consumption of Personal Income at Current Market Prices","1998","CP055 - Tools and equipment for house and garden","Euro Million","17"
"Consumption of Personal Income at Current Market Prices","1998","CP056 - Goods and services for routine household maintenance","Euro Million","962"
"Consumption of Personal Income at Current Market Prices","1998","CP06 - Health","Euro Million","1003"
"Consumption of Personal Income at Current Market Prices","1998","CP061 - Medical products, appliances and equipment","Euro Million","300"
"Consumption of Personal Income at Current Market Prices","1998","CP062 - Out-patient services","Euro Million","258"
"Consumption of Personal Income at Current Market Prices","1998","CP063 - Hospital services","Euro Million","445"
"Consumption of Personal Income at Current Market Prices","1998","CP07 - Transport","Euro Million","4523"
"Consumption of Personal Income at Current Market Prices","1998","CP071 - Purchase of vehicles","Euro Million","1935"
"Consumption of Personal Income at Current Market Prices","1998","CP072 - Operation of personal transport equipment","Euro Million","1687"
"Consumption of Personal Income at Current Market Prices","1998","CP073 - Transport services","Euro Million","900"
"Consumption of Personal Income at Current Market Prices","1998","CP08 - Communications","Euro Million","725"
"Consumption of Personal Income at Current Market Prices","1998","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1998","CP082 - Telephone and telefax equipment","Euro Million","8"
"Consumption of Personal Income at Current Market Prices","1998","CP083 - Telephone and telefax services","Euro Million","678"
"Consumption of Personal Income at Current Market Prices","1998","CP09 - Recreation and culture","Euro Million","2854"
