"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Ireland","Euro Million","10176.7478907"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Northern & Western","Euro Million","1343.65104771132"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Southern","Euro Million","2818.14906960187"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Eastern & Midland","Euro Million","6014.94777338681"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Ireland","Euro Million","10517.5316465"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Northern & Western","Euro Million","1386.24016518556"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Southern","Euro Million","2905.08934752198"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Eastern & Midland","Euro Million","6226.20213379246"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Ireland","Euro Million","11187.253764"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Northern & Western","Euro Million","1252.34715518494"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Southern","Euro Million","2556.97264124973"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Eastern & Midland","Euro Million","7377.93396756533"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Ireland","Euro Million","12436.4043069"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Northern & Western","Euro Million","1438.09704355487"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Southern","Euro Million","2897.89000726853"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Eastern & Midland","Euro Million","8100.41725607661"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Ireland","Euro Million","12853.9683217"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Northern & Western","Euro Million","1529.16264934996"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Southern","Euro Million","3025.21078428127"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Eastern & Midland","Euro Million","8299.59488806877"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2024","Ireland","Euro Million","14883.4538727"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2024","Northern & Western","Euro Million","1831.95099527741"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2024","Southern","Euro Million","3568.15445922138"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2024","Eastern & Midland","Euro Million","9483.34841820121"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Ireland","Euro Million","2035.026216"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Northern & Western","Euro Million","187.629498"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Southern","Euro Million","489.926577"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Eastern & Midland","Euro Million","1357.470141"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Ireland","Euro Million","2173.836711"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Northern & Western","Euro Million","185.45443"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Southern","Euro Million","505.517652"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Eastern & Midland","Euro Million","1482.864629"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Ireland","Euro Million","1937.442902"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Northern & Western","Euro Million","131.324054"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Southern","Euro Million","453.639686"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Eastern & Midland","Euro Million","1352.479162"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Ireland","Euro Million","2413.903108"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Northern & Western","Euro Million","182.829923"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Southern","Euro Million","806.032071"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2003","Eastern & Midland","Euro Million","1425.041114"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Ireland","Euro Million","2733.007541"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Northern & Western","Euro Million","127.275828"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Southern","Euro Million","1057.593349"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2004","Eastern & Midland","Euro Million","1548.138364"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2005","Ireland","Euro Million","2351.184352"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2005","Northern & Western","Euro Million","-92.749366"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2005","Southern","Euro Million","1107.752012"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2005","Eastern & Midland","Euro Million","1336.181706"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2006","Ireland","Euro Million","1713.13368"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2006","Northern & Western","Euro Million","-240.229436"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2006","Southern","Euro Million","788.227901"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2006","Eastern & Midland","Euro Million","1165.135215"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2007","Ireland","Euro Million","271.671567000001"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2007","Northern & Western","Euro Million","-514.988575"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2007","Southern","Euro Million","132.045997"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2007","Eastern & Midland","Euro Million","654.614145"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2008","Ireland","Euro Million","-436.183585000001"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2008","Northern & Western","Euro Million","-494.877225"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2008","Southern","Euro Million","-208.228808"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2008","Eastern & Midland","Euro Million","266.922448"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2009","Ireland","Euro Million","1747.101728"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2009","Northern & Western","Euro Million","244.394669"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2009","Southern","Euro Million","512.646176"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2009","Eastern & Midland","Euro Million","990.060883"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2010","Ireland","Euro Million","1436.878315"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2010","Northern & Western","Euro Million","144.251667"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2010","Southern","Euro Million","345.00947"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2010","Eastern & Midland","Euro Million","947.617178"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2011","Ireland","Euro Million","1177.266557"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2011","Northern & Western","Euro Million","-60.442435"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2011","Southern","Euro Million","350.752152"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2011","Eastern & Midland","Euro Million","886.95684"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2012","Ireland","Euro Million","3882.178579"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2012","Northern & Western","Euro Million","601.702391"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2012","Southern","Euro Million","1189.374644"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2012","Eastern & Midland","Euro Million","2091.101544"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2013","Ireland","Euro Million","3650.874481"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2013","Northern & Western","Euro Million","580.699671"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2013","Southern","Euro Million","1128.612346"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2013","Eastern & Midland","Euro Million","1941.562464"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2014","Ireland","Euro Million","3935.126628"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2014","Northern & Western","Euro Million","642.555527"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2014","Southern","Euro Million","1242.006065"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2014","Eastern & Midland","Euro Million","2050.565036"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2015","Ireland","Euro Million","4184.427847"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2015","Northern & Western","Euro Million","696.6596"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2015","Southern","Euro Million","1341.233077"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2015","Eastern & Midland","Euro Million","2146.53517"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2016","Ireland","Euro Million","3387.361441"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2016","Northern & Western","Euro Million","562.716748"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2016","Southern","Euro Million","1083.84766"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2016","Eastern & Midland","Euro Million","1740.797033"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2017","Ireland","Euro Million","4544.271963"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2017","Northern & Western","Euro Million","623.05685"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2017","Southern","Euro Million","1559.830375"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2017","Eastern & Midland","Euro Million","2361.384738"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2018","Ireland","Euro Million","4439.851128"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2018","Northern & Western","Euro Million","749.518692"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2018","Southern","Euro Million","1438.950341"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2018","Eastern & Midland","Euro Million","2251.382095"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2019","Ireland","Euro Million","3757.207495"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2019","Northern & Western","Euro Million","502.75895"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2019","Southern","Euro Million","1286.036143"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2019","Eastern & Midland","Euro Million","1968.412402"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2020","Ireland","Euro Million","3610.099561"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2020","Northern & Western","Euro Million","599.806941"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2020","Southern","Euro Million","1155.252301"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2020","Eastern & Midland","Euro Million","1855.040319"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2021","Ireland","Euro Million","4746.107967"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2021","Northern & Western","Euro Million","791.355657"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2021","Southern","Euro Million","1523.081802"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2021","Eastern & Midland","Euro Million","2431.670508"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2022","Ireland","Euro Million","7213.63133"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2022","Northern & Western","Euro Million","1210.365748"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2022","Southern","Euro Million","2326.563451"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2022","Eastern & Midland","Euro Million","3676.702131"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2023","Ireland","Euro Million","8609.928273"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2023","Northern & Western","Euro Million","1394.413671"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2023","Southern","Euro Million","2699.869727"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2023","Eastern & Midland","Euro Million","4515.644875"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2024","Ireland","Euro Million","9603.440571"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2024","Northern & Western","Euro Million","1516.17099939493"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2024","Southern","Euro Million","2951.38371300349"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2024","Eastern & Midland","Euro Million","5135.88585860158"
"Primary Income","2000","Ireland","Euro Million","56935.2872918"
"Primary Income","2000","Northern & Western","Euro Million","8305.13394565058"
"Primary Income","2000","Southern","Euro Million","18086.275395198"
"Primary Income","2000","Eastern & Midland","Euro Million","30543.8779509514"
"Primary Income","2001","Ireland","Euro Million","63523.4242494"
"Primary Income","2001","Northern & Western","Euro Million","9251.119823728"
"Primary Income","2001","Southern","Euro Million","20144.3784635977"
"Primary Income","2001","Eastern & Midland","Euro Million","34127.9259620743"
"Primary Income","2002","Ireland","Euro Million","66289.6516333"
"Primary Income","2002","Northern & Western","Euro Million","9584.95387548382"
"Primary Income","2002","Southern","Euro Million","20940.7793280501"
"Primary Income","2002","Eastern & Midland","Euro Million","35763.9184297661"
"Primary Income","2003","Ireland","Euro Million","71848.3395972"
"Primary Income","2003","Northern & Western","Euro Million","10385.2380106711"
"Primary Income","2003","Southern","Euro Million","22941.3582312683"
"Primary Income","2003","Eastern & Midland","Euro Million","38521.7433552606"
"Primary Income","2004","Ireland","Euro Million","77327.7635734"
"Primary Income","2004","Northern & Western","Euro Million","11137.2266861411"
"Primary Income","2004","Southern","Euro Million","24905.7550746667"
"Primary Income","2004","Eastern & Midland","Euro Million","41284.7818125921"
"Primary Income","2005","Ireland","Euro Million","84634.0894443"
"Primary Income","2005","Northern & Western","Euro Million","12004.4785033205"
"Primary Income","2005","Southern","Euro Million","27436.897721783"
"Primary Income","2005","Eastern & Midland","Euro Million","45192.7132191965"
"Primary Income","2006","Ireland","Euro Million","91045.0578334"
"Primary Income","2006","Northern & Western","Euro Million","12877.1226013929"
"Primary Income","2006","Southern","Euro Million","29348.6520079705"
"Primary Income","2006","Eastern & Midland","Euro Million","48819.2832240366"
"Primary Income","2007","Ireland","Euro Million","99551.7651922"
"Primary Income","2007","Northern & Western","Euro Million","14284.4819567613"
"Primary Income","2007","Southern","Euro Million","31942.677050229"
"Primary Income","2007","Eastern & Midland","Euro Million","53324.6061852096"
"Primary Income","2008","Ireland","Euro Million","102469.8668856"
"Primary Income","2008","Northern & Western","Euro Million","14648.4528448267"
"Primary Income","2008","Southern","Euro Million","32741.5713301567"
"Primary Income","2008","Eastern & Midland","Euro Million","55079.8427106166"
"Primary Income","2009","Ireland","Euro Million","92338.2778565"
"Primary Income","2009","Northern & Western","Euro Million","13636.4070740893"
"Primary Income","2009","Southern","Euro Million","29437.3409507457"
"Primary Income","2009","Eastern & Midland","Euro Million","49264.529831665"
"Primary Income","2010","Ireland","Euro Million","87658.3403396"
"Primary Income","2010","Northern & Western","Euro Million","12863.580476189"
"Primary Income","2010","Southern","Euro Million","27959.0070931147"
"Primary Income","2010","Eastern & Midland","Euro Million","46835.7527702964"
"Primary Income","2011","Ireland","Euro Million","89448.7371495"
"Primary Income","2011","Northern & Western","Euro Million","13558.4474340915"
"Primary Income","2011","Southern","Euro Million","28565.9159880914"
"Primary Income","2011","Eastern & Midland","Euro Million","47324.3737273171"
"Primary Income","2012","Ireland","Euro Million","92292.6353508"
"Primary Income","2012","Northern & Western","Euro Million","13878.3502069144"
"Primary Income","2012","Southern","Euro Million","29735.2635030945"
"Primary Income","2012","Eastern & Midland","Euro Million","48679.0216407912"
"Primary Income","2013","Ireland","Euro Million","93252.9057750088"
"Primary Income","2013","Northern & Western","Euro Million","14030.7659435157"
"Primary Income","2013","Southern","Euro Million","29815.8869780038"
"Primary Income","2013","Eastern & Midland","Euro Million","49406.2528534893"
"Primary Income","2014","Ireland","Euro Million","97635.989181492"
"Primary Income","2014","Northern & Western","Euro Million","14731.2411438291"
"Primary Income","2014","Southern","Euro Million","31223.4041933968"
"Primary Income","2014","Eastern & Midland","Euro Million","51681.343844266"
"Primary Income","2015","Ireland","Euro Million","104217.344504539"
"Primary Income","2015","Northern & Western","Euro Million","15589.5737878478"
"Primary Income","2015","Southern","Euro Million","33117.222413657"
"Primary Income","2015","Eastern & Midland","Euro Million","55510.5483030342"
"Primary Income","2016","Ireland","Euro Million","109898.570417506"
"Primary Income","2016","Northern & Western","Euro Million","16250.3380164393"
"Primary Income","2016","Southern","Euro Million","34602.1780337881"
"Primary Income","2016","Eastern & Midland","Euro Million","59046.0543672787"
"Primary Income","2017","Ireland","Euro Million","118448.473203756"
"Primary Income","2017","Northern & Western","Euro Million","17317.9751439752"
"Primary Income","2017","Southern","Euro Million","37359.1916085044"
"Primary Income","2017","Eastern & Midland","Euro Million","63771.306451276"
"Primary Income","2018","Ireland","Euro Million","124947.4780351"
"Primary Income","2018","Northern & Western","Euro Million","18301.8624368415"
"Primary Income","2018","Southern","Euro Million","38909.3811247872"
"Primary Income","2018","Eastern & Midland","Euro Million","67736.2344734713"
"Primary Income","2019","Ireland","Euro Million","134036.3653857"
"Primary Income","2019","Northern & Western","Euro Million","19290.1099977113"
"Primary Income","2019","Southern","Euro Million","41233.8752126019"
"Primary Income","2019","Eastern & Midland","Euro Million","73512.3801753868"
"Primary Income","2020","Ireland","Euro Million","133246.529758848"
"Primary Income","2020","Northern & Western","Euro Million","19340.0455590188"
"Primary Income","2020","Southern","Euro Million","41102.1206993121"
"Primary Income","2020","Eastern & Midland","Euro Million","72804.3635005169"
"Primary Income","2021","Ireland","Euro Million","147872.4125054"
"Primary Income","2021","Northern & Western","Euro Million","21212.892319732"
"Primary Income","2021","Southern","Euro Million","44846.3385482482"
"Primary Income","2021","Eastern & Midland","Euro Million","81813.1816374196"
"Primary Income","2022","Ireland","Euro Million","165912.15503096"
"Primary Income","2022","Northern & Western","Euro Million","23693.0308201221"
"Primary Income","2022","Southern","Euro Million","50146.9616942412"
"Primary Income","2022","Eastern & Midland","Euro Million","92072.1625165969"
"Primary Income","2023","Ireland","Euro Million","180605.365829065"
"Primary Income","2023","Northern & Western","Euro Million","25869.2954570606"
"Primary Income","2023","Southern","Euro Million","54374.8011893737"
"Primary Income","2023","Eastern & Midland","Euro Million","100361.269182631"
"Primary Income","2024","Ireland","Euro Million","195979.252532011"
"Primary Income","2024","Northern & Western","Euro Million","28117.8678886517"
"Primary Income","2024","Southern","Euro Million","58906.265043076"
"Primary Income","2024","Eastern & Midland","Euro Million","108955.119600283"
"Social Benefits and Other Current Transfers","2000","Ireland","Euro Million","9871.6"
"Social Benefits and Other Current Transfers","2000","Northern & Western","Euro Million","1900.67"
"Social Benefits and Other Current Transfers","2000","Southern","Euro Million","3419.53"
"Social Benefits and Other Current Transfers","2000","Eastern & Midland","Euro Million","4551.4"
"Social Benefits and Other Current Transfers","2001","Ireland","Euro Million","11769.34"
"Social Benefits and Other Current Transfers","2001","Northern & Western","Euro Million","2243.93"
"Social Benefits and Other Current Transfers","2001","Southern","Euro Million","4097.91"
"Social Benefits and Other Current Transfers","2001","Eastern & Midland","Euro Million","5427.5"
"Social Benefits and Other Current Transfers","2002","Ireland","Euro Million","13140.11"
"Social Benefits and Other Current Transfers","2002","Northern & Western","Euro Million","2486.03"
"Social Benefits and Other Current Transfers","2002","Southern","Euro Million","4578.66"
"Social Benefits and Other Current Transfers","2002","Eastern & Midland","Euro Million","6075.42"
"Social Benefits and Other Current Transfers","2003","Ireland","Euro Million","13961.1"
"Social Benefits and Other Current Transfers","2003","Northern & Western","Euro Million","2634.46"
"Social Benefits and Other Current Transfers","2003","Southern","Euro Million","4868.44"
"Social Benefits and Other Current Transfers","2003","Eastern & Midland","Euro Million","6458.2"
"Social Benefits and Other Current Transfers","2004","Ireland","Euro Million","15842.14"
"Social Benefits and Other Current Transfers","2004","Northern & Western","Euro Million","2980.24"
"Social Benefits and Other Current Transfers","2004","Southern","Euro Million","5545.56"
"Social Benefits and Other Current Transfers","2004","Eastern & Midland","Euro Million","7316.34"
"Social Benefits and Other Current Transfers","2005","Ireland","Euro Million","18194.67"
"Social Benefits and Other Current Transfers","2005","Northern & Western","Euro Million","3451.67"
"Social Benefits and Other Current Transfers","2005","Southern","Euro Million","6407.46"
"Social Benefits and Other Current Transfers","2005","Eastern & Midland","Euro Million","8335.54"
"Social Benefits and Other Current Transfers","2006","Ireland","Euro Million","20273.76"
"Social Benefits and Other Current Transfers","2006","Northern & Western","Euro Million","3826.48"
"Social Benefits and Other Current Transfers","2006","Southern","Euro Million","7130.32"
"Social Benefits and Other Current Transfers","2006","Eastern & Midland","Euro Million","9316.96"
"Social Benefits and Other Current Transfers","2007","Ireland","Euro Million","22510.36"
"Social Benefits and Other Current Transfers","2007","Northern & Western","Euro Million","4282.75"
"Social Benefits and Other Current Transfers","2007","Southern","Euro Million","7942.22"
"Social Benefits and Other Current Transfers","2007","Eastern & Midland","Euro Million","10285.39"
"Social Benefits and Other Current Transfers","2008","Ireland","Euro Million","24668.61"
"Social Benefits and Other Current Transfers","2008","Northern & Western","Euro Million","4714.58"
"Social Benefits and Other Current Transfers","2008","Southern","Euro Million","8680.87"
"Social Benefits and Other Current Transfers","2008","Eastern & Midland","Euro Million","11273.16"
"Social Benefits and Other Current Transfers","2009","Ireland","Euro Million","28464.43"
"Social Benefits and Other Current Transfers","2009","Northern & Western","Euro Million","5470.28"
"Social Benefits and Other Current Transfers","2009","Southern","Euro Million","10062.3"
"Social Benefits and Other Current Transfers","2009","Eastern & Midland","Euro Million","12931.85"
"Social Benefits and Other Current Transfers","2010","Ireland","Euro Million","27819.72"
"Social Benefits and Other Current Transfers","2010","Northern & Western","Euro Million","5319.63"
"Social Benefits and Other Current Transfers","2010","Southern","Euro Million","9845.11"
"Social Benefits and Other Current Transfers","2010","Eastern & Midland","Euro Million","12654.98"
"Social Benefits and Other Current Transfers","2011","Ireland","Euro Million","26893.42"
"Social Benefits and Other Current Transfers","2011","Northern & Western","Euro Million","5123.52"
"Social Benefits and Other Current Transfers","2011","Southern","Euro Million","9461.07"
"Social Benefits and Other Current Transfers","2011","Eastern & Midland","Euro Million","12308.83"
"Social Benefits and Other Current Transfers","2012","Ireland","Euro Million","28074.83"
"Social Benefits and Other Current Transfers","2012","Northern & Western","Euro Million","5294.98"
"Social Benefits and Other Current Transfers","2012","Southern","Euro Million","9804.78"
"Social Benefits and Other Current Transfers","2012","Eastern & Midland","Euro Million","12975.07"
"Social Benefits and Other Current Transfers","2013","Ireland","Euro Million","27639.15"
"Social Benefits and Other Current Transfers","2013","Northern & Western","Euro Million","5209.82"
"Social Benefits and Other Current Transfers","2013","Southern","Euro Million","9633.59"
"Social Benefits and Other Current Transfers","2013","Eastern & Midland","Euro Million","12795.74"
"Social Benefits and Other Current Transfers","2014","Ireland","Euro Million","26592.04"
"Social Benefits and Other Current Transfers","2014","Northern & Western","Euro Million","5010.14"
"Social Benefits and Other Current Transfers","2014","Southern","Euro Million","9272.83"
"Social Benefits and Other Current Transfers","2014","Eastern & Midland","Euro Million","12309.07"
"Social Benefits and Other Current Transfers","2015","Ireland","Euro Million","27313.36"
"Social Benefits and Other Current Transfers","2015","Northern & Western","Euro Million","5118.02"
"Social Benefits and Other Current Transfers","2015","Southern","Euro Million","9509.83"
"Social Benefits and Other Current Transfers","2015","Eastern & Midland","Euro Million","12685.51"
"Social Benefits and Other Current Transfers","2016","Ireland","Euro Million","27123.927925"
"Social Benefits and Other Current Transfers","2016","Northern & Western","Euro Million","5047.00797726143"
"Social Benefits and Other Current Transfers","2016","Southern","Euro Million","9416.74724106411"
"Social Benefits and Other Current Transfers","2016","Eastern & Midland","Euro Million","12660.1727066745"
"Social Benefits and Other Current Transfers","2017","Ireland","Euro Million","27759.323499"
"Social Benefits and Other Current Transfers","2017","Northern & Western","Euro Million","5232.81559819577"
"Social Benefits and Other Current Transfers","2017","Southern","Euro Million","9647.15559272536"
"Social Benefits and Other Current Transfers","2017","Eastern & Midland","Euro Million","12879.3523080789"
"Social Benefits and Other Current Transfers","2018","Ireland","Euro Million","27975.960316"
"Social Benefits and Other Current Transfers","2018","Northern & Western","Euro Million","5264.73812436928"
"Social Benefits and Other Current Transfers","2018","Southern","Euro Million","9715.02456507481"
"Social Benefits and Other Current Transfers","2018","Eastern & Midland","Euro Million","12996.1976265559"
"Social Benefits and Other Current Transfers","2019","Ireland","Euro Million","29766.732503"
"Social Benefits and Other Current Transfers","2019","Northern & Western","Euro Million","5714.28392445423"
"Social Benefits and Other Current Transfers","2019","Southern","Euro Million","10339.8936717648"
"Social Benefits and Other Current Transfers","2019","Eastern & Midland","Euro Million","13712.554906781"
"Social Benefits and Other Current Transfers","2020","Ireland","Euro Million","35589.702913"
"Social Benefits and Other Current Transfers","2020","Northern & Western","Euro Million","7001.5345444051"
"Social Benefits and Other Current Transfers","2020","Southern","Euro Million","12159.5772536277"
"Social Benefits and Other Current Transfers","2020","Eastern & Midland","Euro Million","16428.5911149672"
"Social Benefits and Other Current Transfers","2021","Ireland","Euro Million","35049.913263"
"Social Benefits and Other Current Transfers","2021","Northern & Western","Euro Million","6540.45860742351"
"Social Benefits and Other Current Transfers","2021","Southern","Euro Million","12251.1730307028"
"Social Benefits and Other Current Transfers","2021","Eastern & Midland","Euro Million","16258.2816248737"
"Social Benefits and Other Current Transfers","2022","Ireland","Euro Million","33967.563245"
"Social Benefits and Other Current Transfers","2022","Northern & Western","Euro Million","6443.09693522236"
"Social Benefits and Other Current Transfers","2022","Southern","Euro Million","12090.1003394197"
"Social Benefits and Other Current Transfers","2022","Eastern & Midland","Euro Million","15434.365970358"
"Social Benefits and Other Current Transfers","2023","Ireland","Euro Million","36840.595167"
"Social Benefits and Other Current Transfers","2023","Northern & Western","Euro Million","6906.60895367603"
"Social Benefits and Other Current Transfers","2023","Southern","Euro Million","12963.4480406732"
"Social Benefits and Other Current Transfers","2023","Eastern & Midland","Euro Million","16970.5381726508"
"Social Benefits and Other Current Transfers","2024","Ireland","Euro Million","39395.314166"
"Social Benefits and Other Current Transfers","2024","Northern & Western","Euro Million","7340.86355306012"
"Social Benefits and Other Current Transfers","2024","Southern","Euro Million","13896.382296828"
"Social Benefits and Other Current Transfers","2024","Eastern & Midland","Euro Million","18158.0683161119"
"Total Household Income","2000","Ireland","Euro Million","66806.8872918"
"Total Household Income","2000","Northern & Western","Euro Million","10205.8039456506"
"Total Household Income","2000","Southern","Euro Million","21505.805395198"
"Total Household Income","2000","Eastern & Midland","Euro Million","35095.2779509514"
"Total Household Income","2001","Ireland","Euro Million","75292.7642494"
"Total Household Income","2001","Northern & Western","Euro Million","11495.049823728"
"Total Household Income","2001","Southern","Euro Million","24242.2884635977"
"Total Household Income","2001","Eastern & Midland","Euro Million","39555.4259620743"
"Total Household Income","2002","Ireland","Euro Million","79429.7616333"
"Total Household Income","2002","Northern & Western","Euro Million","12070.9838754838"
"Total Household Income","2002","Southern","Euro Million","25519.4393280501"
"Total Household Income","2002","Eastern & Midland","Euro Million","41839.3384297661"
